Dataseed	use_training_form	n_task_use_aug	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.5)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.5)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	RF(0.7,100,half,all)K	RF(0.7,100,half,all)accuracy	RF(0.7,100,half,all)safe_macro_sensitivity	RF(0.7,100,half,all)safe_macro_specificity	RF(0.7,100,half,all)safe_macro_PPV	RF(0.7,100,half,all)safe_macro_NPV	RF(0.7,100,half,all)safe_macro_F1	RF(0.7,100,half,all)oob_error	RF(0.7,100,half,all)n_nodes	RF(0.7,100,half,all)σ² K	RF(0.7,100,half,all)σ² accuracy	RF(0.7,100,half,all)σ² safe_macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_specificity	RF(0.7,100,half,all)σ² safe_macro_PPV	RF(0.7,100,half,all)σ² safe_macro_NPV	RF(0.7,100,half,all)σ² safe_macro_F1	RF(0.7,100,half,all)σ² oob_error	RF(0.7,100,half,all)σ² n_nodes	RF(0.7,100,half,all)t	RF(0.7,100,half,all)hash	
4	stump_with_memoization	(1,false)	1	40	(75,50)	false	Any[]	TestOp_80	3.57	51.79	60.71	42.86	51.52	52.17	55.74	39	0.6002747252747253	0.53125	16.088	47da8cb186e10e3c4f7366299c0bf530f4facbdf1a788ea6948420bc67d8e7a5	21.43	60.71	57.14	64.29	61.54	60.0	59.26	9	0.6386645962732919	0.5959239130434782	6.52	8fa08fdc8b9e607697fc163f312ee8717623bd33a62be5907a2c3507e0d73037	14.29	57.14	64.29	50.0	56.25	58.33	60.0	35	0.6002747252747253	0.53125	17.122	e411bc83acbf53aeca6288ab9f92e954e63a34bbebf1531acc145162937e23c6	21.43	60.71	57.14	64.29	61.54	60.0	59.26	9	0.6386645962732919	0.5959239130434782	6.491	8fa08fdc8b9e607697fc163f312ee8717623bd33a62be5907a2c3507e0d73037	30.71	65.36	71.43	59.29	63.85	67.38	67.38	0.0	146680.0	0.005484693877551023	0.001371173469387756	0.0006377551020408157	0.004209183673469391	0.0016174134003667639	0.0011408515072937272	0.0008033613379502075	0.0	419.19999999999993	0.0	("29338a7d5609fb709271f6429c22dfca54bb0be5ca4b114acedd202b07d7845c", "3e32bbeaa8992beea2207221c558a167cc5176fe5e99de8f16508067034763cd", "5d85fac401b62b0767a01a01230a07aa200a155173d6b7be5fad018fe558d6c6", "0476ea72eaa764927352dcf006f6d476702ad46f213a63711c5061fce886d367", "3f867fcbebb722680033806e525817dd101ab47374cd213e4fc2f6b083f08271")	32.86	66.43	69.29	63.57	65.59	67.38	67.38	27.9	293480.0	0.013647959183673472	0.003411989795918368	0.0029336734693877573	0.0040816326530612275	0.0031738670894437856	0.0037043124649962277	0.0030290853236100467	0.0006061008866960779	871.2	2491.141	("0e4dbab0901667891fcc0b979f237ba441905d061df8f84740d6404c494440d0", "27e5423a2dd3b5a45804b9a40e893303b9e0651e8d0a8cca852fd70c10e71ff8", "e4b3c460bb63e3d5efc6e1d8c92a284ed4031de11f71288c0db979c5b11df00c", "8d4b76c2661352b2b2537d13f25cd953dc0bd95745d69c4ae67e68fa2fbe901e", "9c646fde8f8b4b5f24c1d91c12b14923b9dbdf431dd7d5d0c38d374579d9a40d")	
5	stump_with_memoization	(1,false)	1	40	(75,50)	false	Any[]	TestOp_80	17.86	58.93	50.0	67.86	60.87	57.58	54.9	17	0.6152255639097745	0.5634868421052632	15.303	169b12085871736d101e3b6acb59a147fe1637ef306027649461d5cf8b7e5ee3	14.29	57.14	46.43	67.86	59.09	55.88	52.0	11	0.5914285714285714	0.5475000000000001	9.919	bd8e5ded822c6c22fd894afb86aebeca1e07e17ed62d2f3141b1f6ffcbe9b8c5	17.86	58.93	50.0	67.86	60.87	57.58	54.9	17	0.6152255639097745	0.5634868421052632	10.531	169b12085871736d101e3b6acb59a147fe1637ef306027649461d5cf8b7e5ee3	14.29	57.14	46.43	67.86	59.09	55.88	52.0	11	0.5914285714285714	0.5475000000000001	9.861	bd8e5ded822c6c22fd894afb86aebeca1e07e17ed62d2f3141b1f6ffcbe9b8c5	38.57	69.29	57.14	81.43	75.38	65.65	64.91	0.0	144760.0	0.006632653061224478	0.0016581632653061196	0.004464285714285718	0.0008928571428571422	0.0018470780758197657	0.0015443455684475934	0.00306217654961648	0.0	1108.8	0.0	("54cfab86d9cf5ebd3a5253ae8d2160350dc5f2e981300cb3a6a85e09ca9c5fbb", "7fd320bd8ea03ce071c65525143b7e76f131d793d6cbd6c954a5a017034a015f", "28f0e204bc4829e01e161b31b8f66f669735cc0524f3623cb9bfe1f7c2688519", "edb2029539b69439545591d02efcd1c7b720a457cd29120927ead0b33f865733", "d81d561e9fff1cf13f83a20fc08fa8b9b3b20f6f783e155a223b3dc005e2b1cc")	32.86	66.43	53.57	79.29	72.3	63.05	61.49	25.13	288920.0	0.002806122448979591	0.0007015306122448977	0.0006377551020408157	0.0021683673469387733	0.0018816123045175164	0.00036500876239965946	0.0006608155655086969	0.000287806406139869	2337.2	2431.788	("d4ec690e14e4ef16234a9b83e0f2d6e210cda20421f1636ac8b5e1955a5d8cff", "ac9c8d326cbc84291f81346cdb74c98f14a99d9d8e089edeceb715b2da922328", "2087b5a57d3331d66191af3d560f9a76bc1c4d6b0506cc40e39ff18bbd83094f", "87c624fa873052f63db5e337f1dae74f6a92143e60169403dea01546bef2c450", "00681044378b80c317461d6401e8976a90c80af23d40c4c61f8371988eb066ec")	
6	stump_with_memoization	(1,false)	1	40	(75,50)	false	Any[]	TestOp_80	32.14	66.07	64.29	67.86	66.67	65.52	65.45	23	0.6211038961038962	0.5414772727272728	16.714	06a80a7dd0111b3a9b96b64188c3075801f04736044bc06e14e9fb43109c9c78	28.57	64.29	57.14	71.43	66.67	62.5	61.54	11	0.7114285714285715	0.645	9.454	c71b4e31b576144257e6835f88782f52f73f2c3873d015f839387f4cdd97129e	32.14	66.07	67.86	64.29	65.52	66.67	66.67	25	0.6211038961038962	0.5414772727272728	12.474	8b92fd2cfcc7c0b0bb32e3862e01561c006d6f5e427ee7045e4dc797a2fe5cec	28.57	64.29	57.14	71.43	66.67	62.5	61.54	11	0.7114285714285715	0.645	9.419	c71b4e31b576144257e6835f88782f52f73f2c3873d015f839387f4cdd97129e	40.0	70.0	75.71	64.29	67.96	72.57	71.63	0.0	147080.0	0.0015306122448979556	0.00038265306122448885	0.00025510204081632634	0.0006377551020408177	0.000366033103537982	0.00039388888888888893	0.0002981901752370015	0.0	1725.2000000000003	0.0	("ed82f647b7c01bf98465d5c85ab222a82b2ce5450eb86db0f1a0910302718f33", "436abaf50dd441451ba5462890be4e5ff2af791b23c16bb73509a82f14c1886b", "0d898870e24f8ae935b21af327012bb827d6e9e6db39842874939ce9d8953393", "aad0c6f6ee1ca064b1f924799874db01c9c8be8f9973a062c02fefe627789ee5", "1fc3289cd8a0061be87534bc9a006e0fc6e7b5dbbbedb48d54a60b40cdc7c6c6")	39.29	69.64	75.71	63.57	67.61	72.33	71.4	26.55	291960.0	0.004464285714285714	0.0011160714285714285	0.0008928571428571421	0.0028061224489795943	0.0012585871963414288	0.0010240118119484133	0.0008226728502200838	0.00028389067272299994	2124.7999999999997	2206.297	("55edb3a3c28ffb739f9a64693776cbac163fcb77cf5d1bb2cb2b3a9f097a68cb", "400501c7896de644c4d42ae2b097c2823254a3364f772b60868d5df5c2364c5a", "b06a10bca7f5ccdfe9ec347d038e722fadaf88a6c73b7b0b0544b831e3f9b747", "1a1e4d9bdd9e12fddaadaa52488b0d700cf68f255cecde846ac5e483e047ff5e", "8aaf3601df2c98e3da48f760acd1c9ebd8d314f5eaed3b6a9c7066686165f436")	
7	stump_with_memoization	(1,false)	1	40	(75,50)	false	Any[]	TestOp_80	39.29	69.64	67.86	71.43	70.37	68.97	69.09	23	0.6938311688311689	0.6005681818181818	17.707	fdf18f26251267b8f6bb4581e2467c970694d1152552f009b964d7f7ac033105	35.71	67.86	71.43	64.29	66.67	69.23	68.97	9	0.6938311688311689	0.6005681818181818	10.367	1ac28624706037fa2922a8a108099888d1c375a997aa9c09af01403247d6c961	39.29	69.64	67.86	71.43	70.37	68.97	69.09	21	0.6938311688311689	0.6005681818181818	12.23	8d167b4e70c3fb8480f8a9527f825ae4831d1d09724ef34920edf00b8199f110	35.71	67.86	71.43	64.29	66.67	69.23	68.97	9	0.6938311688311689	0.6005681818181818	10.231	1ac28624706037fa2922a8a108099888d1c375a997aa9c09af01403247d6c961	44.29	72.14	77.14	67.14	70.25	74.64	73.48	0.0	147960.0	0.002933673469387761	0.0007334183673469402	0.0010204081632653051	0.0028061224489795925	0.001117150205821088	0.0007158229355898364	0.0005457349653579949	0.0	284.8	0.0	("b301bf898108ce464d2b52b57d80e9569d2b2c6531038df5f8d171816d316a4e", "fb296376ff19c1965841e0ca4ea2bc49cdc500ae6db748ab723129787b05386a", "2d0cee38a1ac7681c57d4924ceea6af0345182a7332c2e8dfbc5512ca011eb77", "9f43467a668148bebbdf12184ecb5fd882c6fe5e94552e4cb63b307a0a00d130", "aeba8d1306fd7b7abb85ec27310c137c4c156afa1e0e0e0676621b5cdc316e55")	47.86	73.93	78.57	69.29	71.89	76.4	75.08	28.58	295800.0	0.0067602040816326595	0.0016900510204081649	0.0019132653061224472	0.001658163265306121	0.0013571511157359235	0.0022149112426035505	0.001563028924472277	0.00011355626908920076	1018.0	2404.488	("fada14ebbfb23cd40ffe0df1a059ae5281dc85c47b4ce16339d91e61a9b8f058", "127ae35ea5bb7682c2caf95e32f7130094b2abfdb506edc50007e3c3a54abdc0", "5b541bdcaa5f7ed2ac5858b5819f53e8837437c1f679d3f8dad17743942128bb", "5c0af18925735e2dfeda9b105e4774962358df69798e232c820312448412cc59", "ee7ddeea6df2fbf711068fa812ec704f619d465f28fc48e8a19660182ab14503")	
8	stump_with_memoization	(1,false)	1	40	(75,50)	false	Any[]	TestOp_80	35.71	67.86	64.29	71.43	69.23	66.67	66.67	29	0.6002747252747253	0.53125	20.32	02d58e1445f826b0742846bb8f46687f3631b323092f9e3250762b5d73786b89	17.86	58.93	60.71	57.14	58.62	59.26	59.65	13	0.6038819875776397	0.5676630434782608	13.109	372a99cff7838fce5ee2680f2d7f497edf3473c55bc27da98a0deabc2fcd62e9	28.57	64.29	64.29	64.29	64.29	64.29	64.29	29	0.6002747252747253	0.53125	16.511	25f4764cd19eb5a262c209c0bc90f19e69f99bc7ecddfaf45b39e3c388b8c4f2	17.86	58.93	60.71	57.14	58.62	59.26	59.65	13	0.6038819875776397	0.5676630434782608	13.278	372a99cff7838fce5ee2680f2d7f497edf3473c55bc27da98a0deabc2fcd62e9	37.14	68.57	56.43	80.71	74.55	65.02	64.15	0.0	146560.0	0.0010204081632653051	0.00025510204081632634	0.002168367346938778	0.00038265306122448945	0.00010330578512396678	0.0004462426310393446	0.0008501035502958575	0.0	284.8	0.0	("567f3c56a6687d9259999ce2089f3418738b936b491f832538f13e0ec35ee287", "16dafc408b7a8914f19bccd7fb32930dce657dcffe8f9363af16ab128adf50c8", "de81502539d4d97231fa7ce712bcde11988d7b5a50aa9aa6006ad301a4798d2e", "5afaeb48177542e2fc94099c1aa8a96e4605988759d92cfb34301311379a4484", "bd273eec8011e4665b286854b8df3f098bc488251aa3e0b177956977764210b4")	37.14	68.57	57.14	80.0	74.07	65.18	64.45	29.12	292840.0	0.0016581632653061228	0.0004145408163265307	0.0019132653061224513	0.0003826530612244894	0.0003751569498322737	0.0005079432372077376	0.0009499397563638416	0.00046401440989897555	2590.7999999999997	2563.613	("4d864850a95797a1ab034f7fb8e81957a89e765429536f758d1ce5a3c90f7079", "b9cb1871bb796a622227c1f66408090edf3a1aa392d88e85e87c6a59cc46dfd0", "ad74f6a9dbe9bccff839870b061b5fe89575dd62225f628b678ff60c4cbdda07", "678a11b1014b88cc26d98b3db4811f19071e43641985a5f25c99cd29eed9e69d", "87686474c409d623be40082e906055b31c4b06398f1060c29b0b139524c56ed1")	
9	stump_with_memoization	(1,false)	1	40	(75,50)	false	Any[]	TestOp_80	25.0	62.5	71.43	53.57	60.61	65.22	65.57	21	0.6386645962732919	0.5959239130434782	12.954	d5474e008ede83e5d8307caf7f634bac9fba1f9c3fc5d0224d68c66d72227f4d	28.57	64.29	64.29	64.29	64.29	64.29	64.29	7	0.6880952380952382	0.5959239130434782	7.139	49061294b5cdc6cb35c6060eb9db4012fc6ab5a7513df5f57e6503b89e668803	25.0	62.5	71.43	53.57	60.61	65.22	65.57	21	0.6386645962732919	0.5959239130434782	9.232	14ad3b425a6ab7425e909fa9b82df9a700932f5f6bf4f7f402dc7aa940fc66a6	28.57	64.29	64.29	64.29	64.29	64.29	64.29	7	0.6880952380952382	0.5959239130434782	7.167	49061294b5cdc6cb35c6060eb9db4012fc6ab5a7513df5f57e6503b89e668803	33.57	66.79	60.71	72.86	69.13	65.03	64.59	0.0	143120.0	0.0022959183673469333	0.0005739795918367333	0.001913265306122451	0.0010204081632653051	0.0006518819447840428	0.0005982013222771907	0.0009944590340550002	0.0	329.19999999999993	0.0	("2486e9a2c3ac5d1c7714b4ff7a03a0a6bd5bb795c92d606779676c8041d6a106", "5358fda29005cf686590d8e9c385dba05881af1b6016a5cd97cb465b1d4fb438", "2b95054db0ea2d2d0bff38b22c82f55b60bea4c6756c68915533d65876172765", "22b274ba6e3f212dc536652201d653bed2350d0d6f857e5a76102a7f5fe643a5", "e0552d0f9b6d7a7656f360534626470dfd8bd49b1c99a4ce25cea0c13d62c2a8")	36.43	68.21	62.14	74.29	70.81	66.35	66.07	27.19	285960.0	0.002168367346938777	0.0005420918367346942	0.002933673469387758	0.001530612244897958	0.0007130498079378823	0.0007066084002830002	0.0011658518598880129	0.0001182488840159767	452.8	2056.682	("658cba7446bc3bf7ea037493a8846047572c27e0d718b32827a5d60590227650", "f00776ec2f5ee496df168495457c2ef15d1c3375bb0758358cf9fcb0aef2f18f", "811add9cb08fde995562e4bc4eaa47660b8f3ce87627adee3a669af78d9832a7", "9a4c811d4ed7f0b82e7a30d874d3c8ebd0517c3606d9769cb506929416154c0a", "f43c87d6408ec5935510d6199bdf78348db013a1945c605cd37fabf19d435095")	
10	stump_with_memoization	(1,false)	1	40	(75,50)	false	Any[]	TestOp_80	32.14	66.07	71.43	60.71	64.52	68.0	67.8	33	0.7107142857142857	0.6008928571428571	13.844	7e4240538cacaae557f7147303628b2714dd438f4598f4f09561bf86beec0b9a	35.71	67.86	60.71	75.0	70.83	65.62	65.38	17	0.6774725274725275	0.6375	12.384	ca2974bf6ce9c8990551328d780032f5400a4ffb882d2e1dcf834f8e846fc591	21.43	60.71	64.29	57.14	60.0	61.54	62.07	29	0.7107142857142857	0.6008928571428571	13.712	961bf2e1fa1a6cb628b91a0333a33e3209d6ba30ed2c62d0ba0dae16622417f0	35.71	67.86	60.71	75.0	70.83	65.62	65.38	17	0.6774725274725275	0.6375	12.407	ca2974bf6ce9c8990551328d780032f5400a4ffb882d2e1dcf834f8e846fc591	47.14	73.57	71.43	75.71	74.64	72.73	72.93	0.0	149160.0	0.0028061224489795977	0.0007015306122448995	0.002551020408163263	0.0008928571428571421	0.0005937608079740468	0.0011188907182664832	0.0010803950057705427	0.0	390.8	0.0	("71fe2e2e115536bd929ba655f82d2829fa0296caa2b93d324b5098f78c16de3f", "d04a5dc2cf3464119b37f1b4afe6ee6fc5ebac8df64ddbb8cab75ebe635fb7c0", "fd02d1c3c05d84709752f18ec6d4d7cc989560afb74c43f4100eed9a60df87e0", "44acf3bf729af4c79e4556c745ff0f1a722f9b429c47b3c0bb09053a38c76361", "613ae8cc495024894df985e8904384c355539859894077fe48ad97bd559b6216")	50.71	75.36	73.57	77.14	76.31	74.49	74.91	30.47	297920.0	0.0008928571428571476	0.0002232142857142869	0.0003826530612244895	0.0003826530612244895	0.000285001745115706	0.0002418417228167523	0.00024242991078007956	6.668542351315745e-5	725.2	1645.377	("aab8000598c0393f04afba70cb02869e2a000ff0543aa68ae4733dbe5bb7ac0b", "ca2eb9d4a84bbe73ad04e1ee3eca2f0048e22ae3f9c308e11e3690e663792f4e", "60b79ee5728361c3cf4d8aab21305e808b429001154b826025ddd6befeaa225f", "8527c7696bf9b0c99a82c444c7f561a3d021494edeb8fb5b36dfb3ef2a79d8fd", "1bb8c901c3a94f77b3e742f8b0a7fc05c338e4ddf2bc4d5533144aeee7f3e4de")	
1	stump_with_memoization	(1,false)	2	40	(75,50)	false	Any[]	TestOp_80	32.14	66.07	64.29	67.86	66.67	65.52	65.45	19	0.699436090225564	0.6319078947368422	994.137	a06911306d751b6c71657f125343216a89f8bfbf1cd184783d9de78e8da33087	32.14	66.07	64.29	67.86	66.67	65.52	65.45	5	0.6297619047619047	0.6020833333333333	27.724	b65e18c65204ed1970739e8c740443946334c9d0efc545abcadfe872a79bb0eb	35.71	67.86	64.29	71.43	69.23	66.67	66.67	19	0.699436090225564	0.6319078947368422	35.006	fef8f83edc3824538af441b0e7ab919458c591b88198a5da3247e92cdeaa9937	32.14	66.07	64.29	67.86	66.67	65.52	65.45	5	0.6297619047619047	0.6020833333333333	28.77	b65e18c65204ed1970739e8c740443946334c9d0efc545abcadfe872a79bb0eb	45.0	72.5	61.43	83.57	79.16	68.53	68.98	0.0	145040.0	0.00038265306122448707	9.566326530612177e-5	0.002806122448979594	0.0016581632653061246	0.00087462749728824	0.0003899021785616059	0.0006314608530701969	0.0	260.8	0.0	("cc6a73fc0fa57edac99cfa2c01e8ce40f6201ab1a968b6114512d88d7cdb3e8e", "b3f07280105f09ab95af7dfa7fb7d0f1d3d9a5aeb5cff65c6e0e885d782c7cb3", "8c0e72776ee2d335866868684d48e7ec4698871a1f5037356d8d39d09a784cc1", "4d4c7925db2a72a9ec69b93040763b9840557cffa69282755f04f241a3ecb1af", "35955ca215dc4cdd6c638128331ebc1d2351d8866478779029032d012743ef49")	45.0	72.5	60.0	85.0	80.28	68.01	68.57	25.51	289280.0	0.0016581632653061226	0.0004145408163265307	0.0008928571428571445	0.0021683673469387785	0.0020605202938696852	0.0002177080289283409	0.00041691022222361624	0.0004157889332672004	665.2	8081.646	("928a90553f4062d09ba09497aeeffc78e2b63124524e922b5f6e1eb21e86bc69", "4b901b7443f38b2d6fd4bf6d97345c4f82492b0dff809cb60c934644a7da4eb7", "2f4a5515b4ee1c11f28500e770837d085c26459d6932533dae09d760257112a8", "946d64ac77b3c946d2f35561f910cedd7697b94bacab2a43a41104b82692cd61", "87e3470c6dd340c4610744c993ba913e6bfa61ed7552b8014046fbed3b6069e8")	
2	stump_with_memoization	(1,false)	2	40	(75,50)	false	Any[]	TestOp_80	28.57	64.29	57.14	71.43	66.67	62.5	61.54	23	0.5547619047619048	0.4708333333333333	594.327	a98ef481ab0b2fa48405783205d092239911b8db205f9da06a95a77e1b0f097c	21.43	60.71	57.14	64.29	61.54	60.0	59.26	13	0.5285714285714286	0.45625	17.425	445dfd152656fdcabbf9b90834354d49b44ecdadb1411494ed7609f0ccc3d758	25.0	62.5	53.57	71.43	65.22	60.61	58.82	25	0.5547619047619048	0.4708333333333333	38.679	7ebce9eadd64dc9a0f4ddab48d0a75670e65bceb3ab13e8e3d98d386050d6cad	21.43	60.71	57.14	64.29	61.54	60.0	59.26	13	0.5285714285714286	0.45625	17.093	445dfd152656fdcabbf9b90834354d49b44ecdadb1411494ed7609f0ccc3d758	31.43	65.71	61.43	70.0	67.18	64.64	64.03	0.0	150560.0	0.004081632653061223	0.0010204081632653058	0.004719387755102043	0.0016581632653061209	0.0008173634954261733	0.0012931695072004234	0.002172972770375369	0.0	452.8	0.0	("1b897e388bf3ef3ac9483e8215d15f9c00b86a5ca6f1d109cc3763d67e933bb8", "7a97d9ebd7bdab74ccf34584b437ab24a6c0895796f0f2da96b8c17c13f810e0", "515df4175fee60f42493bd7695a3d337ff530f889520c54caf8eda0406da9c65", "3824b4e3322ddb59caacd671a7b1581fa2df6bd2df866485968f327b5434022a", "5b8d0ca0bc64dc3d2f72084b3cca80e5ba6647e05e7a9cc9b00de201ed985ee6")	35.71	67.86	62.86	72.86	69.79	66.28	66.13	30.44	300720.0	0.0031887755102040787	0.0007971938775510197	0.0016581632653061256	0.00038265306122448945	0.0007239973701512154	0.0008381171233668621	0.0011621993527934846	6.265173466990387e-5	1259.2	9718.225	("247782b69aa94e74a9f35309938ab8ad3338ced8111e6d94bbe61ebcb7adee3e", "aea74e5686bcecd5f0e2a6e6e2e3f37b73b9af72a23bb3da6f39cea0c3b3d75a", "26cbee7d5f7f4ca8158635886252935dc548778eba5e928ac830de50e28524b6", "8d8337a1644028cc05b4067c009c74fdf7e1bb96b00518d4e86453c80aa3935e", "646b14c8ef9267d82730e12f3f4f6a22a6f5c1d3e5c96c13c3894203c47e5ff6")	
3	stump_with_memoization	(1,false)	2	40	(75,50)	false	Any[]	TestOp_80	32.14	66.07	60.71	71.43	68.0	64.52	64.15	15	0.7195378151260504	0.6415441176470588	314.617	ea404a603ffd32d5d4019d0a42c8f8437ede9c66181c4b0ee12fa674f72a3cb2	46.43	73.21	67.86	78.57	76.0	70.97	71.7	5	0.6972857142857144	0.65025	34.615	ce53b54d0bc3843c9010930151a889df7d78ca08a7b1e6e9aa6a5afc692afd6b	39.29	69.64	60.71	78.57	73.91	66.67	66.67	17	0.7195378151260504	0.6415441176470588	41.708	2c90295701dde70136aa0d3dec35b2df2dcd0358a868ce66c800c4d8eb76cd81	46.43	73.21	67.86	78.57	76.0	70.97	71.7	5	0.6972857142857144	0.65025	34.625	ce53b54d0bc3843c9010930151a889df7d78ca08a7b1e6e9aa6a5afc692afd6b	37.14	68.57	60.0	77.14	73.1	65.83	65.63	0.0	145560.0	0.00548469387755102	0.001371173469387755	0.002168367346938778	0.006760204081632654	0.0051693248273384975	0.0007634175299756038	0.001071884192457861	0.0	170.8	0.0	("f01bdb470a8ba3b88e0eaf2e4edf3e0acf7acc095e682f95709805cfc31bcb6e", "b03d2fdd1443fea5f9a5de187dd9645dfa003bbe0aec254d422a46ffcf987d0c", "e1bba997944f6f4a481c55031f6d979050a2976a35a7cea193b2b67833a7743d", "746ae5d0d876ec2d8d0284587e819a7fc4cdc70c049948dff47ed1f30986a803", "36c9af9e310a26480d03ad5f12b0fd331b93bb0f249e733a907415dcb39992e2")	37.86	68.93	59.29	78.57	73.79	65.81	65.67	24.12	288560.0	0.004846938775510202	0.0012117346938775506	0.0003826530612244895	0.0038265306122448996	0.004053150403328696	0.00048053429526778344	0.0009541712563897829	0.00017321959336317019	1606.7999999999997	6325.095	("9f72ba7f4ab300e5261724516909d70f198ff8d9f1976115f9d304480c166fed", "19e10741a0eeda81bb76c09c41ebab8501f376f3515a34dace38069b96fac4e9", "c56497d40b0c04dacfc763582ec9d00cbd83abffb213eda21d974cac1da2a303", "36f08ee932ba2d0695de45a912573181e784569f37a22a5cbcecd54cbe6a8106", "1cb52472bb4f09b04d9b4bad6529c5a110a53e6dbac1cea53664c9df25b55fad")	
