Dataseed	minfreq	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	wintime_steptime_dataset_kwargs	use_full_mfcc	canonical_features	ontology	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T,(nothing, 2, 0.01, 0.4, false)train_accuracy	T,(nothing, 2, 0.01, 0.4, false)K	T,(nothing, 2, 0.01, 0.4, false)accuracy	T,(nothing, 2, 0.01, 0.4, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.4, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.4, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.4, false)n_nodes	T,(nothing, 2, 0.01, 0.4, false)n_leaves	T,(nothing, 2, 0.01, 0.4, false)height	T,(nothing, 2, 0.01, 0.4, false)modal_height	T,(nothing, 2, 0.01, 0.4, false)t	T,(nothing, 2, 0.01, 0.4, false)hash	T,(nothing, 2, 0.01, 0.5, false)train_accuracy	T,(nothing, 2, 0.01, 0.5, false)K	T,(nothing, 2, 0.01, 0.5, false)accuracy	T,(nothing, 2, 0.01, 0.5, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.5, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.5, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.5, false)n_nodes	T,(nothing, 2, 0.01, 0.5, false)n_leaves	T,(nothing, 2, 0.01, 0.5, false)height	T,(nothing, 2, 0.01, 0.5, false)modal_height	T,(nothing, 2, 0.01, 0.5, false)t	T,(nothing, 2, 0.01, 0.5, false)hash	T,(nothing, 2, 0.01, 0.6, false)train_accuracy	T,(nothing, 2, 0.01, 0.6, false)K	T,(nothing, 2, 0.01, 0.6, false)accuracy	T,(nothing, 2, 0.01, 0.6, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.6, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.6, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.6, false)n_nodes	T,(nothing, 2, 0.01, 0.6, false)n_leaves	T,(nothing, 2, 0.01, 0.6, false)height	T,(nothing, 2, 0.01, 0.6, false)modal_height	T,(nothing, 2, 0.01, 0.6, false)t	T,(nothing, 2, 0.01, 0.6, false)hash	T,(nothing, 4, 0.01, 0.4, false)train_accuracy	T,(nothing, 4, 0.01, 0.4, false)K	T,(nothing, 4, 0.01, 0.4, false)accuracy	T,(nothing, 4, 0.01, 0.4, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.4, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.4, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.4, false)n_nodes	T,(nothing, 4, 0.01, 0.4, false)n_leaves	T,(nothing, 4, 0.01, 0.4, false)height	T,(nothing, 4, 0.01, 0.4, false)modal_height	T,(nothing, 4, 0.01, 0.4, false)t	T,(nothing, 4, 0.01, 0.4, false)hash	T,(nothing, 4, 0.01, 0.5, false)train_accuracy	T,(nothing, 4, 0.01, 0.5, false)K	T,(nothing, 4, 0.01, 0.5, false)accuracy	T,(nothing, 4, 0.01, 0.5, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.5, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.5, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.5, false)n_nodes	T,(nothing, 4, 0.01, 0.5, false)n_leaves	T,(nothing, 4, 0.01, 0.5, false)height	T,(nothing, 4, 0.01, 0.5, false)modal_height	T,(nothing, 4, 0.01, 0.5, false)t	T,(nothing, 4, 0.01, 0.5, false)hash	T,(nothing, 4, 0.01, 0.6, false)train_accuracy	T,(nothing, 4, 0.01, 0.6, false)K	T,(nothing, 4, 0.01, 0.6, false)accuracy	T,(nothing, 4, 0.01, 0.6, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.6, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.6, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.6, false)n_nodes	T,(nothing, 4, 0.01, 0.6, false)n_leaves	T,(nothing, 4, 0.01, 0.6, false)height	T,(nothing, 4, 0.01, 0.6, false)modal_height	T,(nothing, 4, 0.01, 0.6, false)t	T,(nothing, 4, 0.01, 0.6, false)hash	RF,(half_f, 50, 0.7, identity, nothing, false)train_accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)K	RF,(half_f, 50, 0.7, identity, nothing, false)accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_specificity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_PPV	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_NPV	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_F1	RF,(half_f, 50, 0.7, identity, nothing, false)oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)σ² train_accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)σ² K	RF,(half_f, 50, 0.7, identity, nothing, false)σ² accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)σ² macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_specificity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_PPV	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_NPV	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_F1	RF,(half_f, 50, 0.7, identity, nothing, false)σ² oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)t	RF,(half_f, 50, 0.7, identity, nothing, false)hash	
1	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",3,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	286	72	(143, 143)	(36, 36)	[60]	[(26,)]	99.3	83.33	91.67	91.67	88.89	94.44	94.12	89.47	91.43	19	10	5	4	88.922	8ba8a6626744be2576bf808362492808d0b41e7f8fde463f5af106f38f17f644	99.3	83.33	91.67	91.67	88.89	94.44	94.12	89.47	91.43	19	10	5	4	17.175	8ba8a6626744be2576bf808362492808d0b41e7f8fde463f5af106f38f17f644	99.3	83.33	91.67	91.67	88.89	94.44	94.12	89.47	91.43	19	10	5	4	17.011	8ba8a6626744be2576bf808362492808d0b41e7f8fde463f5af106f38f17f644	99.3	80.56	90.28	90.28	83.33	97.22	96.77	85.37	89.55	19	10	5	4	16.825	8e5c64877b07a2050571ce185ab55da471cfd6de67dafbf1c626254d58a36d3e	99.3	80.56	90.28	90.28	83.33	97.22	96.77	85.37	89.55	19	10	5	4	16.753	8e5c64877b07a2050571ce185ab55da471cfd6de67dafbf1c626254d58a36d3e	99.3	80.56	90.28	90.28	83.33	97.22	96.77	85.37	89.55	19	10	5	4	16.846	8e5c64877b07a2050571ce185ab55da471cfd6de67dafbf1c626254d58a36d3e	99.65	79.44	89.72	89.72	80.0	99.44	99.33	83.32	88.58	4.2	5000.0	71000.0	0.0	0.14	0.03	0.03	0.13	0.02	0.02	0.06	0.05	0.0	0.0	10000.0	348.933	("9854979c2fcfe862de449525e2680d7df8502d5b34292473cbdf349fd7b02201", "ebad01c9f4788c66a328c8b3c86998cc7ce5beaec2753092674012bd94d3252f", "e15956ae1c2102f28177994a931303ad352645a4a7eb4caa9fbe03e8a5465061", "02167f852fef215d50eeb953b89e12f34124d605bd1b2207fc92707880a8bbeb", "14272adf6cf3e63564152dede51806da5cdd2d01c9f47265433e9a46fcc8a320")	
2	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",3,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	286	72	(143, 143)	(36, 36)	[60]	[(26,)]	100.0	97.22	98.61	98.61	97.22	100.0	100.0	97.3	98.59	15	8	4	3	15.439	aa9d694faaba069efe1f01b7fb8f1d7600a2bab2678026684f48d34e57150f66	100.0	97.22	98.61	98.61	97.22	100.0	100.0	97.3	98.59	15	8	4	3	7.748	aa9d694faaba069efe1f01b7fb8f1d7600a2bab2678026684f48d34e57150f66	100.0	97.22	98.61	98.61	97.22	100.0	100.0	97.3	98.59	15	8	4	3	7.428	aa9d694faaba069efe1f01b7fb8f1d7600a2bab2678026684f48d34e57150f66	99.3	97.22	98.61	98.61	97.22	100.0	100.0	97.3	98.59	15	8	4	3	7.403	a583e87a5f29d819f0e3aa13bd8d3ac76ac10b6b672e203db0529f05157def48	99.3	97.22	98.61	98.61	97.22	100.0	100.0	97.3	98.59	15	8	4	3	7.421	a583e87a5f29d819f0e3aa13bd8d3ac76ac10b6b672e203db0529f05157def48	99.3	97.22	98.61	98.61	97.22	100.0	100.0	97.3	98.59	15	8	4	3	7.423	a583e87a5f29d819f0e3aa13bd8d3ac76ac10b6b672e203db0529f05157def48	100.0	97.22	98.61	98.61	97.22	100.0	100.0	97.3	98.59	5.17	5000.0	80360.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	35080.0	370.695	("3541c3b514a6de8f98b92147f3011de8077831fd12c96dba7bdb7f3bc8ee3802", "962421ffae74718651fe787ceacc93a88e205632070da551f02701b26a7df176", "d24429bef8e784f0ca4ceca2e984d109180906a13543bd86cd91a13f6c57710b", "d545d184a3ddde2d0a1b8e1dcafd0c7e0e85098984220d85c719c7f9bb0f00a2", "69b258a1c2295a6881f88607a5fcfa1d28719fbda64e7e64a607b54f5a15ab6e")	
3	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",3,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	286	72	(143, 143)	(36, 36)	[60]	[(26,)]	99.3	86.11	93.06	93.06	91.67	94.44	94.29	91.89	92.96	25	13	5	5	20.176	934e689696576e8cf362ea4c66383ca0ec0d7f4593398fd3a1628033c0f03239	99.3	86.11	93.06	93.06	91.67	94.44	94.29	91.89	92.96	25	13	5	5	14.824	934e689696576e8cf362ea4c66383ca0ec0d7f4593398fd3a1628033c0f03239	99.3	86.11	93.06	93.06	91.67	94.44	94.29	91.89	92.96	25	13	5	5	14.817	934e689696576e8cf362ea4c66383ca0ec0d7f4593398fd3a1628033c0f03239	97.55	77.78	88.89	88.89	91.67	86.11	86.84	91.18	89.19	25	13	5	5	14.798	a029e4af27fdac76c4ca70b547f2aab19277908139b0d85162a1d93f0165cf7e	97.55	77.78	88.89	88.89	91.67	86.11	86.84	91.18	89.19	25	13	5	5	14.841	a029e4af27fdac76c4ca70b547f2aab19277908139b0d85162a1d93f0165cf7e	97.55	77.78	88.89	88.89	91.67	86.11	86.84	91.18	89.19	25	13	5	5	14.845	a029e4af27fdac76c4ca70b547f2aab19277908139b0d85162a1d93f0165cf7e	100.0	98.33	99.17	99.17	98.33	100.0	100.0	98.38	99.15	4.41	5000.0	86240.0	0.0	0.02	0.01	0.01	0.02	0.0	0.0	0.02	0.01	0.0	0.0	18080.0	353.494	("562a1b66b20113d9932a1f115e21f5dd7d4b8068be460154378d9fab9d44b28e", "a5506867690c863387d32613b182499ee73cf2497db5c595e6fbe8900774d3eb", "a63e96fc92400bdb2445ca0511fd831118ccb3d0d3a45bbfa4d6e10e42d6bd06", "16cc7497a233d1569b688da3c9bdf6b0ca875569fa3a8010d1ac4acb8fadceea", "d40ad038a133361f497be0a90aa2ba3925b73448e3c14f0b5f34d67c01849028")	
4	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",3,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	286	72	(143, 143)	(36, 36)	[60]	[(26,)]	99.3	86.11	93.06	93.06	91.67	94.44	94.29	91.89	92.96	23	12	6	5	13.704	680324f48242bad404ee080ac64d03d63ce88bbdd342fce22466e5db718a195e	99.3	86.11	93.06	93.06	91.67	94.44	94.29	91.89	92.96	23	12	6	5	12.969	680324f48242bad404ee080ac64d03d63ce88bbdd342fce22466e5db718a195e	99.3	86.11	93.06	93.06	91.67	94.44	94.29	91.89	92.96	23	12	6	5	12.953	680324f48242bad404ee080ac64d03d63ce88bbdd342fce22466e5db718a195e	98.6	91.67	95.83	95.83	91.67	100.0	100.0	92.31	95.65	23	12	6	5	13.014	b39b6d8ebbe6aa2602f5e546b9abb01b8ab8cffc925103066fe4b9a595329f1b	98.6	91.67	95.83	95.83	91.67	100.0	100.0	92.31	95.65	23	12	6	5	12.906	b39b6d8ebbe6aa2602f5e546b9abb01b8ab8cffc925103066fe4b9a595329f1b	98.6	91.67	95.83	95.83	91.67	100.0	100.0	92.31	95.65	23	12	6	5	12.853	b39b6d8ebbe6aa2602f5e546b9abb01b8ab8cffc925103066fe4b9a595329f1b	99.93	91.67	95.83	95.83	91.67	100.0	100.0	92.33	95.64	3.64	5000.0	80400.0	0.0	0.04	0.01	0.01	0.04	0.0	0.0	0.03	0.01	0.0	0.0	10400.0	353.467	("ddf08d200ffceca4a5e7faacc6df3cbe8d4949b6f607f99f55dab52d74d7649b", "1a596e42a5a14416d4e63804ee0e3e63330f5be0608ea364858d9ce10f602968", "1809f64c6eea3f41b3ffcb8d37954f24b93caedf129e57bc1ff5ce4e0947f74b", "5f2a3eec46763fba000f533cc58ffea15376ec854da080ca3c1de0eccb0718fb", "879280eb0e9f9d013db0fbf10635e265a8dcf26cc482728c7408844d4c3e4718")	
5	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",3,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	286	72	(143, 143)	(36, 36)	[60]	[(26,)]	99.65	97.22	98.61	98.61	97.22	100.0	100.0	97.3	98.59	25	13	5	4	18.164	d27a3b0d93675bd478d14b94ff94057d6714267d2a44c04c537aedd07b18ced6	99.65	97.22	98.61	98.61	97.22	100.0	100.0	97.3	98.59	25	13	5	4	16.704	d27a3b0d93675bd478d14b94ff94057d6714267d2a44c04c537aedd07b18ced6	99.65	97.22	98.61	98.61	97.22	100.0	100.0	97.3	98.59	25	13	5	4	16.541	d27a3b0d93675bd478d14b94ff94057d6714267d2a44c04c537aedd07b18ced6	97.55	91.67	95.83	95.83	100.0	91.67	92.31	100.0	96.0	25	13	5	4	16.573	83d79d6d4d592ee24e7cefe3629b1c921d926a29c75bd2051b2ee318b4069cb4	97.55	91.67	95.83	95.83	100.0	91.67	92.31	100.0	96.0	25	13	5	4	16.605	83d79d6d4d592ee24e7cefe3629b1c921d926a29c75bd2051b2ee318b4069cb4	97.55	91.67	95.83	95.83	100.0	91.67	92.31	100.0	96.0	25	13	5	4	16.572	83d79d6d4d592ee24e7cefe3629b1c921d926a29c75bd2051b2ee318b4069cb4	99.93	94.44	97.22	97.22	94.44	100.0	100.0	94.74	97.14	4.55	5000.0	85080.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40520.0	390.546	("4d462b71fd41a2ce61f3ea2f2f8e392a3c4ad56621b7bcaef70973d68bf4f195", "c2f1d79bddaa2dce82008a12df945b9dac97de9ea4b687e87626389baadca98c", "761610b2fd939864b2eb8e7e076633dd368b1bff6ff2f748920e49e3fe3167b9", "fc26b38ae9e5302b98d806e1df60d3a3c14ef284c2f526cd08d64131b7a95b73", "61e4a0c0e979a6b09cdca4cc2b80dd81a225d785f2819421f48840d66aec520c")	
6	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",3,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	286	72	(143, 143)	(36, 36)	[60]	[(26,)]	99.3	94.44	97.22	97.22	100.0	94.44	94.74	100.0	97.3	19	10	6	3	11.438	37acf0d7c453546c6e155e2c06db26589f48b3d6ee8adc9209834b056fc99985	99.3	94.44	97.22	97.22	100.0	94.44	94.74	100.0	97.3	19	10	6	3	11.549	37acf0d7c453546c6e155e2c06db26589f48b3d6ee8adc9209834b056fc99985	99.3	94.44	97.22	97.22	100.0	94.44	94.74	100.0	97.3	19	10	6	3	11.448	37acf0d7c453546c6e155e2c06db26589f48b3d6ee8adc9209834b056fc99985	99.3	94.44	97.22	97.22	100.0	94.44	94.74	100.0	97.3	17	9	5	3	11.565	4e913eb6203b632e486f967fe6c376ce0a5f87442e97775feea0714c6cc6249e	99.3	94.44	97.22	97.22	100.0	94.44	94.74	100.0	97.3	17	9	5	3	11.53	4e913eb6203b632e486f967fe6c376ce0a5f87442e97775feea0714c6cc6249e	99.3	94.44	97.22	97.22	100.0	94.44	94.74	100.0	97.3	17	9	5	3	11.014	4e913eb6203b632e486f967fe6c376ce0a5f87442e97775feea0714c6cc6249e	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	5.1	5000.0	84160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	21280.0	317.492	("5371ebd0ff4b3920c5e0f761a1416687cda616d4189463bb02199dc7bdaeb083", "a3dad4c16d5392be3a43f091dad86fe652bffa23ca5b4cd488f512a667099398", "be2dac9aecd0bbdfc0f4431898a297826c4fcedabdc68528989cd09e22c7c434", "898e3b686d504855e2bdffe7dbbc401331f2fc4a4068bc950bb47793de685437", "e8cadda6f98263b0f1d7b811e0fd1aab1e4d15b1fb0d5c8289051027a1470ff8")	
7	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",3,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	286	72	(143, 143)	(36, 36)	[60]	[(26,)]	99.65	91.67	95.83	95.83	94.44	97.22	97.14	94.59	95.77	23	12	5	4	17.246	3ee5458379e24d9e0aeda81f4d01adeb8bebb2bd67ba87775aba668fb542d042	99.65	91.67	95.83	95.83	94.44	97.22	97.14	94.59	95.77	23	12	5	4	16.848	3ee5458379e24d9e0aeda81f4d01adeb8bebb2bd67ba87775aba668fb542d042	99.65	91.67	95.83	95.83	94.44	97.22	97.14	94.59	95.77	23	12	5	4	16.815	3ee5458379e24d9e0aeda81f4d01adeb8bebb2bd67ba87775aba668fb542d042	97.55	83.33	91.67	91.67	94.44	88.89	89.47	94.12	91.89	21	11	5	3	16.822	afd97449f7a4a9952651ce22c7b3c875b0449bc9248eab2c6e3f32d508f5fa70	97.55	83.33	91.67	91.67	94.44	88.89	89.47	94.12	91.89	21	11	5	3	16.779	afd97449f7a4a9952651ce22c7b3c875b0449bc9248eab2c6e3f32d508f5fa70	97.55	83.33	91.67	91.67	94.44	88.89	89.47	94.12	91.89	21	11	5	3	16.799	afd97449f7a4a9952651ce22c7b3c875b0449bc9248eab2c6e3f32d508f5fa70	99.86	96.11	98.06	98.06	96.11	100.0	100.0	96.27	98.01	4.27	5000.0	81000.0	0.0	0.02	0.01	0.01	0.02	0.0	0.0	0.02	0.01	0.0	0.0	22600.0	350.934	("17cc923a1c262e135bbd905e7b4dd8c3f6e12b5f34ccf4dce06f8cfb99609aef", "66b37db7d61fe06f1c07c0cd0c9dfcc6bc6f334c986a9b4bbde06233648a440c", "54d7015485df9b2bbe0dcc935ea0c81254b6293d2eef9a7499c011f281015c45", "3c4f51085a33d9a1a30778f3b933b1549f7b34a0e5e10b41463566cd8ba03d91", "a84dba39b6fa278bb8d5ac55e9877290c3c8fc35ad7dc8fb236708fad1ae2ab6")	
8	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",3,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	286	72	(143, 143)	(36, 36)	[60]	[(26,)]	99.3	80.56	90.28	90.28	88.89	91.67	91.43	89.19	90.14	17	9	5	3	12.416	d77477681a8ffcfc574d4cdf4f4e49040684a1296b0de7ad2cddf4c403a8a766	99.3	80.56	90.28	90.28	88.89	91.67	91.43	89.19	90.14	17	9	5	3	11.891	d77477681a8ffcfc574d4cdf4f4e49040684a1296b0de7ad2cddf4c403a8a766	99.3	80.56	90.28	90.28	88.89	91.67	91.43	89.19	90.14	17	9	5	3	11.882	d77477681a8ffcfc574d4cdf4f4e49040684a1296b0de7ad2cddf4c403a8a766	99.3	86.11	93.06	93.06	88.89	97.22	96.97	89.74	92.75	17	9	5	3	10.79	cf89ec77b2b4fb0335c94892f80d6c8467deedff958c9626ebc30e0cefd7bbbb	99.3	86.11	93.06	93.06	88.89	97.22	96.97	89.74	92.75	17	9	5	3	10.914	cf89ec77b2b4fb0335c94892f80d6c8467deedff958c9626ebc30e0cefd7bbbb	99.3	86.11	93.06	93.06	88.89	97.22	96.97	89.74	92.75	17	9	5	3	10.912	cf89ec77b2b4fb0335c94892f80d6c8467deedff958c9626ebc30e0cefd7bbbb	100.0	93.33	96.67	96.67	93.33	100.0	100.0	93.77	96.55	3.43	5000.0	81240.0	0.0	0.02	0.01	0.01	0.02	0.0	0.0	0.02	0.01	0.0	0.0	36080.0	343.084	("22f0714b18c28d090b5b05ea077e7cccd90a5c68841c44c149f677e9e6fe2edd", "262948444aa4cd9e615de5a82efdbccd29e8fd5092f01819df66d22f7501ad9c", "5e1f1caf24d864f56970c75c4cdcc9254fe18946173925eee20e538a3541cce9", "1f368b1ad7d03493a00cbf984a4393cf72597291f10f35448d31a78682b014da", "3cffeff66f95c98ecafedcf9dcf1a68305d4e4222eaa9c4ba5c35dbb48227297")	
9	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",3,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	286	72	(143, 143)	(36, 36)	[60]	[(26,)]	99.65	86.11	93.06	93.06	91.67	94.44	94.29	91.89	92.96	17	9	5	3	13.508	cf3b24d212be33f820d4d5474af1ecd6857afcd54c9d780da58fe4b7616fb532	99.65	86.11	93.06	93.06	91.67	94.44	94.29	91.89	92.96	17	9	5	3	13.074	cf3b24d212be33f820d4d5474af1ecd6857afcd54c9d780da58fe4b7616fb532	99.65	86.11	93.06	93.06	91.67	94.44	94.29	91.89	92.96	17	9	5	3	13.051	cf3b24d212be33f820d4d5474af1ecd6857afcd54c9d780da58fe4b7616fb532	98.6	88.89	94.44	94.44	91.67	97.22	97.06	92.11	94.29	17	9	5	3	13.172	954cc62f16bed3b7ef7ea9097145d1f2cf796ef20aeb481395f7244dbd09c293	98.6	88.89	94.44	94.44	91.67	97.22	97.06	92.11	94.29	17	9	5	3	13.076	954cc62f16bed3b7ef7ea9097145d1f2cf796ef20aeb481395f7244dbd09c293	98.6	88.89	94.44	94.44	91.67	97.22	97.06	92.11	94.29	17	9	5	3	13.05	954cc62f16bed3b7ef7ea9097145d1f2cf796ef20aeb481395f7244dbd09c293	99.93	92.78	96.39	96.39	92.78	100.0	100.0	93.28	96.25	4.83	5000.0	81840.0	0.0	0.02	0.01	0.01	0.02	0.0	0.0	0.02	0.01	0.0	0.0	43280.0	351.262	("b9e097c588b0666550497e78c5034d4efb471626fe3b8f003b7472b18d623086", "b0d84a92bb8e179a958005ea580e2d3d91815c4ff46c6b13dab661c17a226803", "b33245040adcf8dc6d7b66591e9f4fe2dd690febcbd84343bd5e648277c847f9", "1bd2ee945aea35a17a9220195261ebd797e528c309b97e139e827893fdf8a022", "a8989dcac9c83076c44da906ebfd03d8f80575ef134c503b3abdb90b20ea2611")	
10	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",3,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	286	72	(143, 143)	(36, 36)	[60]	[(26,)]	99.65	80.56	90.28	90.28	86.11	94.44	93.94	87.18	89.86	19	10	6	5	14.35	76cd6d4535bf5a217965fdfdfc10dbadac4ecc037b91d5505ad4bcdc00ef7971	99.65	80.56	90.28	90.28	86.11	94.44	93.94	87.18	89.86	19	10	6	5	14.002	76cd6d4535bf5a217965fdfdfc10dbadac4ecc037b91d5505ad4bcdc00ef7971	99.65	80.56	90.28	90.28	86.11	94.44	93.94	87.18	89.86	19	10	6	5	14.05	76cd6d4535bf5a217965fdfdfc10dbadac4ecc037b91d5505ad4bcdc00ef7971	98.95	86.11	93.06	93.06	88.89	97.22	96.97	89.74	92.75	19	10	6	4	13.521	31c0bb5253a03fa9b49fd3dad5914a0e55521e4456961234e83dcb8b52d38fcd	98.95	86.11	93.06	93.06	88.89	97.22	96.97	89.74	92.75	19	10	6	4	13.48	31c0bb5253a03fa9b49fd3dad5914a0e55521e4456961234e83dcb8b52d38fcd	98.95	86.11	93.06	93.06	88.89	97.22	96.97	89.74	92.75	19	10	6	4	13.47	31c0bb5253a03fa9b49fd3dad5914a0e55521e4456961234e83dcb8b52d38fcd	99.72	90.56	95.28	95.28	90.56	100.0	100.0	91.41	95.03	3.29	5000.0	83360.0	0.0	0.06	0.02	0.02	0.06	0.0	0.0	0.04	0.02	0.01	0.0	30280.0	357.154	("0eb1de2c10a2c86ef6ec50fe9540789b1dad870051ef13302fc355cc98db4f47", "e17de32c9c01840dae44fde5c1b7df5f45e8b1e4d19c0f696edfedebf907b9f2", "4d52d3ed7df10b1f0e91db99928e092030ffba6f4a6a66717968e09a9bcaef25", "8e8bc291ec4bb46d666a03f5f44aaaec074fc446a981cfc4980b1e17d31f59c1", "6cd73b23ceccde574a8be0332b2a736583e42d5d3d9f8a674a9151db88858e2c")	
