Dataseed	Params-combination	T(entropy,4,0.01,0.3)	
6	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,PaviaCentre	(40.0, 46.67, 46.67, 93.33, 49.89, 93.4, 46.1, 105.456)	
7	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,PaviaCentre	(46.25, 52.22, 52.22, 94.03, 52.64, 94.06, 51.8, 118.734)	
8	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,PaviaCentre	(36.88, 43.89, 43.89, 92.99, 44.98, 93.02, 43.4, 107.546)	
9	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,PaviaCentre	(38.12, 45.0, 45.0, 93.12, 46.08, 93.14, 44.97, 105.369)	
10	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,PaviaCentre	(35.62, 42.78, 42.78, 92.85, 45.5, 92.85, 43.11, 118.672)	
1	((3,7),false,"o_RCC8","TestOp"),100,-1,PaviaCentre	(91.88, 92.78, 92.78, 99.1, 93.04, 99.1, 92.77, 2025.844)	
2	((3,7),false,"o_RCC8","TestOp"),100,-1,PaviaCentre	(88.13, 89.44, 89.44, 98.68, 89.65, 98.69, 89.39, 746.246)	
3	((3,7),false,"o_RCC8","TestOp"),100,-1,PaviaCentre	(90.0, 91.11, 91.11, 98.89, 91.37, 98.89, 91.08, 212.508)	
4	((3,7),false,"o_RCC8","TestOp"),100,-1,PaviaCentre	(88.13, 89.44, 89.44, 98.68, 90.24, 98.7, 89.32, 403.766)	
5	((3,7),false,"o_RCC8","TestOp"),100,-1,PaviaCentre	(87.5, 88.89, 88.89, 98.61, 89.45, 98.62, 88.91, 891.52)	
6	((3,7),false,"o_RCC8","TestOp"),100,-1,PaviaCentre	(83.12, 85.0, 85.0, 98.12, 85.72, 98.13, 85.12, 237.558)	
7	((3,7),false,"o_RCC8","TestOp"),100,-1,PaviaCentre	(90.63, 91.67, 91.67, 98.96, 92.29, 98.97, 91.69, 108.692)	
8	((3,7),false,"o_RCC8","TestOp"),100,-1,PaviaCentre	(93.12, 93.89, 93.89, 99.24, 94.16, 99.24, 93.9, 151.164)	
9	((3,7),false,"o_RCC8","TestOp"),100,-1,PaviaCentre	(88.13, 89.44, 89.44, 98.68, 90.03, 98.68, 89.53, 132.835)	
10	((3,7),false,"o_RCC8","TestOp"),100,-1,PaviaCentre	(90.63, 91.67, 91.67, 98.96, 92.33, 98.96, 91.73, 274.412)	
1	((3,7),false,"o_RCC5","TestOp"),100,-1,PaviaCentre	(92.5, 93.33, 93.33, 99.17, 93.55, 99.17, 93.31, 2814.044)	
2	((3,7),false,"o_RCC5","TestOp"),100,-1,PaviaCentre	(88.13, 89.44, 89.44, 98.68, 89.65, 98.69, 89.39, 1001.992)	
3	((3,7),false,"o_RCC5","TestOp"),100,-1,PaviaCentre	(87.5, 88.89, 88.89, 98.61, 89.33, 98.62, 88.84, 636.855)	
4	((3,7),false,"o_RCC5","TestOp"),100,-1,PaviaCentre	(86.25, 87.78, 87.78, 98.47, 88.97, 98.49, 87.72, 297.896)	
5	((3,7),false,"o_RCC5","TestOp"),100,-1,PaviaCentre	(87.5, 88.89, 88.89, 98.61, 89.99, 98.62, 88.96, 1158.106)	
6	((3,7),false,"o_RCC5","TestOp"),100,-1,PaviaCentre	(83.12, 85.0, 85.0, 98.12, 85.72, 98.13, 85.12, 205.833)	
7	((3,7),false,"o_RCC5","TestOp"),100,-1,PaviaCentre	(90.0, 91.11, 91.11, 98.89, 91.96, 98.89, 91.23, 191.502)	
8	((3,7),false,"o_RCC5","TestOp"),100,-1,PaviaCentre	(93.12, 93.89, 93.89, 99.24, 94.16, 99.24, 93.9, 101.401)	
9	((3,7),false,"o_RCC5","TestOp"),100,-1,PaviaCentre	(90.0, 91.11, 91.11, 98.89, 92.02, 98.9, 91.1, 96.092)	
10	((3,7),false,"o_RCC5","TestOp"),100,-1,PaviaCentre	(91.25, 92.22, 92.22, 99.03, 92.73, 99.03, 92.28, 153.813)	
1	((1,7),false,"o_None","TestOpGeq"),100,-1,IndianPines	(64.09, 67.08, 67.08, 97.01, 67.32, 97.02, 66.75, 28.723)	
2	((1,7),false,"o_None","TestOpGeq"),100,-1,IndianPines	(60.0, 63.33, 63.33, 96.67, 63.7, 96.68, 62.83, 29.545)	
3	((1,7),false,"o_None","TestOpGeq"),100,-1,IndianPines	(61.36, 64.58, 64.58, 96.78, 64.24, 96.79, 64.07, 28.981)	
4	((1,7),false,"o_None","TestOpGeq"),100,-1,IndianPines	(66.82, 69.58, 69.58, 97.23, 69.52, 97.26, 68.79, 29.695)	
5	((1,7),false,"o_None","TestOpGeq"),100,-1,IndianPines	(66.36, 69.17, 69.17, 97.2, 71.27, 97.2, 69.69, 30.097)	
6	((1,7),false,"o_None","TestOpGeq"),100,-1,IndianPines	(61.82, 65.0, 65.0, 96.82, 65.68, 96.82, 64.95, 28.282)	
7	((1,7),false,"o_None","TestOpGeq"),100,-1,IndianPines	(63.18, 66.25, 66.25, 96.93, 67.04, 96.94, 65.95, 31.01)	
8	((1,7),false,"o_None","TestOpGeq"),100,-1,IndianPines	(63.18, 66.25, 66.25, 96.93, 67.59, 96.94, 66.15, 28.655)	
9	((1,7),false,"o_None","TestOpGeq"),100,-1,IndianPines	(59.09, 62.5, 62.5, 96.59, 62.4, 96.61, 61.77, 28.609)	
10	((1,7),false,"o_None","TestOpGeq"),100,-1,IndianPines	(60.91, 64.17, 64.17, 96.74, 64.39, 96.76, 63.77, 28.951)	
1	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,IndianPines	(55.91, 59.58, 59.58, 96.33, 62.11, 96.35, 59.27, 174.062)	
2	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,IndianPines	(59.09, 62.5, 62.5, 96.59, 62.88, 96.6, 62.38, 174.71)	
3	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,IndianPines	(60.45, 63.75, 63.75, 96.7, 64.75, 96.71, 63.69, 167.796)	
