Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	use_catch22	n_chunks	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.2)train_accuracy	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)train_accuracy	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	
6	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[1440]	[()]	97.22	65.0	70.83	70.83	70.83	94.17	71.24	94.2	70.61	45	34.399	1f996f4fd4a11bd0b372f9cd03e000a293756d9ee560a50115288f49c7f3f46a	92.71	65.0	70.83	70.83	70.83	94.17	71.87	94.19	70.9	25	32.925	0a0d0930874a752b2ab0d8f5cb56b1c0936f7e5b7162ebd80f3d30a40259eae4	97.22	65.0	70.83	70.83	70.83	94.17	71.22	94.2	70.62	39	34.238	20adfd7a4e33b07c4ceacb1b0e41950732c7bbd38942543b89c33a48398e2262	92.71	65.0	70.83	70.83	70.83	94.17	71.87	94.19	70.9	25	33.097	0a0d0930874a752b2ab0d8f5cb56b1c0936f7e5b7162ebd80f3d30a40259eae4	
7	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[1440]	[()]	98.26	81.67	84.72	84.72	84.72	96.94	84.74	96.99	84.39	37	35.539	541e93021627e82ae7329d7511a5fab5d160908c3fa5e27497d754db9585e432	89.93	71.67	76.39	76.39	76.39	95.28	76.86	95.45	74.93	21	33.496	08f10daf479b3c55e012128cd75d4b871cb29a125f207fb6583431bcf2d34357	96.53	75.0	79.17	79.17	79.17	95.83	78.62	95.87	78.8	37	36.329	48ffa43be8d53a682b186b3f04a851e26bf1e2a972c0fe242d8d1298195d7bdb	93.06	68.33	73.61	73.61	73.61	94.72	72.89	94.77	73.11	27	35.261	e611326935e41dc6df1e8d4d8a916378d7d2e237e27be439475fd93f58f1efc9	
8	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[1440]	[()]	97.22	71.67	76.39	76.39	76.39	95.28	77.62	95.34	76.22	45	33.94	901e1b08ca343b2fc103947c518a5ba913e51a3400663977d63f5840c0c78138	93.75	70.0	75.0	75.0	75.0	95.0	76.4	95.15	74.38	23	33.101	35140d2a3edb8171678ba4a5cd37f60c92cf95d99b9c56fd2992156dfae53a31	96.53	73.33	77.78	77.78	77.78	95.56	78.9	95.62	77.55	39	33.606	fd070ec6ebebfec1593ae895eeee27802be48f0da882f05bd025dead74f2fd18	93.75	70.0	75.0	75.0	75.0	95.0	76.4	95.15	74.38	23	32.965	35140d2a3edb8171678ba4a5cd37f60c92cf95d99b9c56fd2992156dfae53a31	
9	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[1440]	[()]	97.22	71.67	76.39	76.39	76.39	95.28	76.73	95.41	75.43	43	34.42	df7be354fe06bbaa0d037b686bbd0d5c9ba2ade3c29fa7a48a88dac7d7a37bbb	89.24	75.0	79.17	79.17	79.17	95.83	78.66	95.9	78.59	19	32.123	901a14cde1aaeb28f45c8beda98d5555d08cf01cd60a02567df59ae353e34c87	96.18	70.0	75.0	75.0	75.0	95.0	76.9	95.1	74.62	37	34.436	91220fb05b247f693f7fc5c8b23e1b509e550749a1c1b47ee98e01ee51973523	88.54	73.33	77.78	77.78	77.78	95.56	78.56	95.59	77.72	17	32.159	20499410ff0ea9b194250695aec0204c957bc5b4f5d2d948e5d56de50436cc76	
1	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[360]	[()]	97.1	45.65	59.68	59.3	59.3	86.3	59.82	86.69	58.38	49	7.922	0a422996543fd911a1997b57018be2899d8306e27db8a3a0e11b351a045c345b	87.55	50.45	62.9	63.22	63.22	87.6	61.94	88.03	61.36	27	7.035	7d91f50482d0516cbcb40652200aa2223a94000d813e3b29f12e765e9a76e5b0	93.78	50.04	62.9	63.0	63.0	87.34	65.55	87.64	62.56	35	7.876	980a54d6edc00e9676fb2aafb560a734ca562e8e6f5c4f951fc4051d5f765de8	84.65	50.31	62.9	63.22	63.22	87.51	64.17	87.99	61.58	21	7.012	1989272fa9ffdabeee5563eda004ea766c28ee14f82945f63b49172e9f519de9	
2	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[360]	[()]	97.93	52.7	64.52	66.29	66.29	88.05	64.79	88.16	65.32	51	7.632	1a6e4f7306984f071db731ab0c4210bc8173353adb19d8b1d28efbb5f90be00c	92.95	52.61	64.52	66.29	66.29	87.98	65.67	88.01	65.9	35	7.536	c64485dd0465fd531e5346c29d6dee447aa551b1661cedbc20a306502e72276f	91.7	46.03	59.68	61.33	61.33	86.3	61.54	86.3	61.38	41	7.576	058a1c824051695a7fe7bac3c7f80e10b3249d3ca16e9a759a82890c1758e3a0	90.04	54.7	66.13	67.86	67.86	88.48	67.82	88.49	67.76	29	7.53	33c31b1af44703217bcdf676d250b63feb175978dedb6b21316cbff81b3eb30b	
3	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[360]	[()]	97.1	56.85	67.74	68.23	68.23	89.16	68.68	89.2	68.16	43	7.109	a9f17df1d59657d9bcc19fd31972fa993254bdba13676694a118993ee3f88f27	93.36	52.47	64.52	65.1	65.1	88.03	65.47	88.17	64.83	33	6.636	1face8f4343ecafe92e3fcdb2963df65f33e94e1fc4ad4391f07b3cfa41ce11f	93.36	52.44	64.52	65.45	65.45	87.96	66.77	87.91	66.01	33	6.816	61106c0b82d98473ab7d7f869aa6b5bc6d5f2d6db44b8feee18d83278950386e	93.36	52.44	64.52	65.45	65.45	87.96	66.77	87.91	66.01	33	6.842	61106c0b82d98473ab7d7f869aa6b5bc6d5f2d6db44b8feee18d83278950386e	
4	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[360]	[()]	96.68	58.93	69.35	70.19	70.19	89.59	72.92	89.6	70.82	45	5.953	6f86916921f3717ead8e081341f18729f3549d0cc7f8848167da2d186eb0e5d6	88.38	63.28	72.58	73.54	73.54	90.68	76.44	90.62	74.49	27	5.698	a9fd9664321e10a5771fdb6f5c5cfdfab59fffd7d8bf2206ca0f1495292ddc76	92.95	50.45	62.9	64.63	64.63	87.44	66.89	87.48	64.91	33	5.937	826f69ed6b8724b5920d6deb86226ec797372ebb61e034e08cd5ee21c49b3f1f	86.72	61.2	70.97	72.2	72.2	90.18	72.54	90.14	72.27	23	5.7	28f6abd85e3e21f0d545c917b7e347816673e44f2ea9a50ccce4fb0c2736d5c0	
5	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[360]	[()]	97.1	52.47	64.52	65.8	65.8	87.94	68.1	88.05	66.07	47	6.466	23db13200918c987ee85730b56eaa9310d2c20f1c54756f1717bb14782b119a1	88.38	63.38	72.58	73.88	73.88	90.73	73.26	90.87	73.27	25	6.262	2e37d12ea2ed96759b441487366fc72c33e86f21fe353d97df28d3b7b121123a	93.78	61.2	70.97	72.1	72.1	90.18	73.57	90.41	71.86	39	6.439	4ba6fd398bf0851086cc0a9844a4bb34962290c8010c1c5ca74880f5f745da93	87.97	67.69	75.81	77.06	77.06	91.81	76.85	91.92	76.63	25	6.218	29dd2427e396f0a246f98d51557cde7133f24d58672fe084274cd33e9ca9d556	
6	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[360]	[()]	97.93	46.22	59.68	61.61	61.61	86.39	58.54	86.86	59.02	47	7.639	a6db599bd893a8afc0c2eb377c59f9946c5d62e8bd709eb5f6707c5c5da4a6f3	83.4	46.51	59.68	61.9	61.9	86.54	63.44	86.92	60.68	19	6.769	3fd492de15563c2657156d0f05700f90119a2e52a6f4c3171492cf6cce750108	93.78	52.67	64.52	66.34	66.34	88.02	66.33	88.43	64.73	37	7.56	9d55ff3389515bf5b5aa1e572d52af6bce70e2355cec5eb9f57a2aedb3f1980d	82.57	46.51	59.68	61.9	61.9	86.54	63.44	86.92	60.68	17	6.757	21731fa7c73df704dc63bd21fa6fda1bec390637bac0e9dca5ff781653d3ef91	
7	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[360]	[()]	97.1	59.27	69.35	71.38	71.38	89.73	68.88	89.99	69.5	51	7.092	b30dc30eb75008ae6eef008ff86c4a07bcdd28994b32d761f3e3c5f9efbac4ce	90.46	63.5	72.58	74.16	74.16	90.82	72.39	90.98	72.79	29	6.355	9580b59746703c1dbafbe7abe44c6a73602cb1b2739c4ec9efcd17ab9afb8f20	94.61	50.55	62.9	64.91	64.91	87.48	62.5	87.7	63.43	43	7.105	08c1f792d22be48808097b100d188b6f7afb57c71e35c36eee5f9e3852a38c37	89.63	61.33	70.97	72.37	72.37	90.28	70.83	90.38	71.28	27	6.281	8a6d397276e45684ecb3e4c4cc6231cee7a34860c27013582cc3b91e050626bf	
8	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[360]	[()]	97.1	63.38	72.58	74.11	74.11	90.7	73.74	90.83	73.54	43	6.781	3786b7c785768088bceae4063566b121f6e85de72f61f1c6e8ec9d2483fac266	91.7	61.2	70.97	72.37	72.37	90.16	72.02	90.24	71.89	29	6.559	59f8a60da8a56453a9b3bfe65719e965b9d34497a244a052f4aecb7cda9ff207	92.12	56.94	67.74	69.37	69.37	89.1	69.88	89.3	68.75	37	6.683	3ae6938fbfe171157d037754c90252f72ab5c140610b894d608b71aa7461d92f	90.87	61.2	70.97	72.2	72.2	90.18	71.62	90.29	71.62	27	6.496	345aaf8b7698b524a9b6c7595c5746db528af14666ad483bf67223ed222c0a9b	
9	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[360]	[()]	97.93	56.82	67.74	68.68	68.68	89.09	70.79	89.47	68.04	47	6.997	ac3892e99605c6fbf3116e454d838f4a00b78ca9bd71ea2f36c94d10955a6a0f	84.65	39.43	54.84	56.7	56.7	84.59	54.47	85.26	53.65	21	6.265	bfda9b94608d313ad4ee3c5cf8d44ace43ef04e1cc70b1a3b4f623b1d1f39c5c	92.53	56.79	67.74	68.68	68.68	89.07	67.8	89.34	67.75	43	6.864	d31e8658030fd05a366c79b71e206b763b9f95f8c82a603e22d01e0e970fb417	82.99	39.43	54.84	56.7	56.7	84.59	53.69	85.22	53.58	19	6.102	093f06e462b6aa0e8f69eec4c2f58e9be4d59640779ddb186c45a58ba46e6e5c	
