	n_task	aug	n_version	dataset_kwargs	Model	accuracy
164	2	1	3	75	T(entropy,2,0.01,0.2)	68.638
165	2	1	3	75	T(entropy,2,0.01,0.6)	76.362
166	2	1	3	75	T(entropy,4,0.01,0.2)	69.09100000000001
167	2	1	3	75	T(entropy,4,0.01,0.6)	76.362
168	2	1	3	100	RF(100,half,all)	82.45400000000001
169	2	1	3	100	RF(50,half,all)	81.17999999999999
170	2	1	3	100	T(,2,0.01,0.2)	71.818
171	2	1	3	100	T(,4,0.01,0.2)	72.27199999999999
172	2	1	3	100	T(entropy,2,0.01,0.2)	73.18299999999999
173	2	1	3	100	T(entropy,2,0.01,0.6)	76.36299999999999
174	2	1	3	100	T(entropy,4,0.01,0.2)	74.09100000000001
175	2	1	3	100	T(entropy,4,0.01,0.6)	76.36299999999999
176	3	0	1	50	RF(100,half,all)	56.75
177	3	0	1	50	RF(50,half,all)	56.5
178	3	0	1	50	T(,2,0.01,0.2)	57.5
179	3	0	1	50	T(,4,0.01,0.2)	61.25
180	3	0	1	50	T(entropy,2,0.01,0.2)	55.0
181	3	0	1	50	T(entropy,2,0.01,0.6)	62.5
182	3	0	1	50	T(entropy,4,0.01,0.2)	58.75
183	3	0	1	50	T(entropy,4,0.01,0.6)	62.5
184	3	0	1	75	RF(100,half,all)	59.75
185	3	0	1	75	RF(50,half,all)	56.75
186	3	0	1	75	T(,2,0.01,0.2)	56.25
187	3	0	1	75	T(,4,0.01,0.2)	55.0
188	3	0	1	75	T(entropy,2,0.01,0.2)	57.5
189	3	0	1	75	T(entropy,2,0.01,0.6)	61.25
190	3	0	1	75	T(entropy,4,0.01,0.2)	55.0
191	3	0	1	75	T(entropy,4,0.01,0.6)	61.25
192	3	0	1	100	RF(100,half,all)	56.25
193	3	0	1	100	RF(50,half,all)	56.75
194	3	0	1	100	T(,2,0.01,0.2)	53.75
195	3	0	1	100	T(,4,0.01,0.2)	51.25
196	3	0	1	100	T(entropy,2,0.01,0.2)	57.5
197	3	0	1	100	T(entropy,2,0.01,0.6)	62.5
198	3	0	1	100	T(entropy,4,0.01,0.2)	57.5
199	3	0	1	100	T(entropy,4,0.01,0.6)	62.5
200	3	0	2	75	RF(100,half,all)	54.75
201	3	0	2	75	RF(50,half,all)	53.75
202	3	0	2	75	T(,2,0.01,0.2)	55.0
203	3	0	2	75	T(,4,0.01,0.2)	61.25
204	3	0	2	75	T(entropy,2,0.01,0.2)	56.25
205	3	0	2	75	T(entropy,2,0.01,0.6)	55.0
206	3	0	2	75	T(entropy,4,0.01,0.2)	62.5
207	3	0	2	75	T(entropy,4,0.01,0.6)	56.25
208	3	0	2	100	RF(100,half,all)	55.25
209	3	0	2	100	RF(50,half,all)	55.0
210	3	0	2	100	T(,2,0.01,0.2)	52.5
211	3	0	2	100	T(,4,0.01,0.2)	57.5
212	3	0	2	100	T(entropy,2,0.01,0.2)	57.5
213	3	0	2	100	T(entropy,2,0.01,0.6)	57.5
214	3	0	2	100	T(entropy,4,0.01,0.2)	61.25
215	3	0	2	100	T(entropy,4,0.01,0.6)	57.5
216	3	0	3	75	RF(100,half,all)	57.5
217	3	0	3	75	RF(50,half,all)	55.0
218	3	0	3	75	T(,2,0.01,0.2)	48.75
219	3	0	3	75	T(,4,0.01,0.2)	50.0
220	3	0	3	75	T(entropy,2,0.01,0.2)	51.25
221	3	0	3	75	T(entropy,2,0.01,0.6)	55.0
222	3	0	3	75	T(entropy,4,0.01,0.2)	50.0
223	3	0	3	75	T(entropy,4,0.01,0.6)	55.0
224	3	0	3	100	RF(100,half,all)	57.75
225	3	0	3	100	RF(50,half,all)	58.0
226	3	0	3	100	T(,2,0.01,0.2)	51.25
227	3	0	3	100	T(,4,0.01,0.2)	51.25
228	3	0	3	100	T(entropy,2,0.01,0.2)	51.25
229	3	0	3	100	T(entropy,2,0.01,0.6)	55.0
230	3	0	3	100	T(entropy,4,0.01,0.2)	52.5
231	3	0	3	100	T(entropy,4,0.01,0.6)	55.0
232	3	1	1	50	RF(100,half,all)	79.81799999999998
233	3	1	1	50	RF(50,half,all)	79.363
234	3	1	1	50	T(,2,0.01,0.2)	65.0
235	3	1	1	50	T(,4,0.01,0.2)	65.90799999999999
236	3	1	1	50	T(entropy,2,0.01,0.2)	65.455
237	3	1	1	50	T(entropy,2,0.01,0.6)	63.18300000000001
238	3	1	1	50	T(entropy,4,0.01,0.2)	64.091
239	3	1	1	50	T(entropy,4,0.01,0.6)	63.18300000000001
240	3	1	1	75	RF(100,half,all)	79.909
241	3	1	1	75	RF(50,half,all)	79.90899999999999
242	3	1	1	75	T(,2,0.01,0.2)	71.36300000000001
243	3	1	1	75	T(,4,0.01,0.2)	69.09100000000001
244	3	1	1	75	T(entropy,2,0.01,0.2)	71.81800000000001
245	3	1	1	75	T(entropy,2,0.01,0.6)	66.81800000000001
246	3	1	1	75	T(entropy,4,0.01,0.2)	72.728
247	3	1	1	75	T(entropy,4,0.01,0.6)	66.81800000000001
248	3	1	1	100	RF(100,half,all)	78.816
249	3	1	1	100	RF(50,half,all)	78.54499999999999
250	3	1	1	100	T(,2,0.01,0.2)	69.546
251	3	1	1	100	T(,4,0.01,0.2)	68.637
252	3	1	1	100	T(entropy,2,0.01,0.2)	72.273
253	3	1	1	100	T(entropy,2,0.01,0.6)	61.82099999999999
254	3	1	1	100	T(entropy,4,0.01,0.2)	70.001
255	3	1	1	100	T(entropy,4,0.01,0.6)	61.82099999999999
256	3	1	2	75	RF(100,half,all)	74.362
257	3	1	2	75	RF(50,half,all)	73.72600000000001
258	3	1	2	75	T(,2,0.01,0.2)	66.82000000000001
259	3	1	2	75	T(,4,0.01,0.2)	66.365
260	3	1	2	75	T(entropy,2,0.01,0.2)	70.909
261	3	1	2	75	T(entropy,2,0.01,0.6)	62.274000000000015
262	3	1	2	75	T(entropy,4,0.01,0.2)	70.45599999999999
263	3	1	2	75	T(entropy,4,0.01,0.6)	62.274000000000015
264	3	1	2	100	RF(100,half,all)	74.728
265	3	1	2	100	RF(50,half,all)	75.273
266	3	1	2	100	T(,2,0.01,0.2)	71.81800000000001
267	3	1	2	100	T(,4,0.01,0.2)	71.36500000000001
268	3	1	2	100	T(entropy,2,0.01,0.2)	72.274
269	3	1	2	100	T(entropy,2,0.01,0.6)	61.819
270	3	1	2	100	T(entropy,4,0.01,0.2)	71.36299999999999
271	3	1	2	100	T(entropy,4,0.01,0.6)	61.819
272	3	1	3	75	RF(100,half,all)	82.638
273	3	1	3	75	RF(50,half,all)	81.363
274	3	1	3	75	T(,2,0.01,0.2)	69.092
275	3	1	3	75	T(,4,0.01,0.2)	69.09100000000001
276	3	1	3	75	T(entropy,2,0.01,0.2)	68.18200000000002
277	3	1	3	75	T(entropy,2,0.01,0.6)	62.273
278	3	1	3	75	T(entropy,4,0.01,0.2)	67.72800000000001
279	3	1	3	75	T(entropy,4,0.01,0.6)	62.273
280	3	1	3	100	RF(100,half,all)	81.909
281	3	1	3	100	RF(50,half,all)	81.819
282	3	1	3	100	T(,2,0.01,0.2)	73.181
283	3	1	3	100	T(,4,0.01,0.2)	73.63699999999999
284	3	1	3	100	T(entropy,2,0.01,0.2)	75.45400000000001
285	3	1	3	100	T(entropy,2,0.01,0.6)	62.729
286	3	1	3	100	T(entropy,4,0.01,0.2)	75.90899999999999
287	3	1	3	100	T(entropy,4,0.01,0.6)	62.729
