	Dataseed	n_task	aug	n_version	dataset_kwargs	Model	accuracy	Model_id
188	4	3	1	1	100	T(entropy,2,0.01,0.2)	86.36	0
189	4	3	1	1	100	T(entropy,2,0.01,0.6)	50.0	1
190	4	3	1	1	100	T(entropy,4,0.01,0.2)	81.82	2
191	4	3	1	1	100	T(entropy,4,0.01,0.6)	50.0	3
192	5	3	1	1	100	RF(100,half,all)	76.36	7
193	5	3	1	1	100	RF(50,half,all)	77.27	6
194	5	3	1	1	100	T(,2,0.01,0.2)	63.64	4
195	5	3	1	1	100	T(,4,0.01,0.2)	59.09	5
196	5	3	1	1	100	T(entropy,2,0.01,0.2)	68.18	0
197	5	3	1	1	100	T(entropy,2,0.01,0.6)	77.27	1
198	5	3	1	1	100	T(entropy,4,0.01,0.2)	68.18	2
199	5	3	1	1	100	T(entropy,4,0.01,0.6)	77.27	3
200	6	3	1	1	100	RF(100,half,all)	88.18	7
201	6	3	1	1	100	RF(50,half,all)	87.27	6
202	6	3	1	1	100	T(,2,0.01,0.2)	72.73	4
203	6	3	1	1	100	T(,4,0.01,0.2)	81.82	5
204	6	3	1	1	100	T(entropy,2,0.01,0.2)	72.73	0
205	6	3	1	1	100	T(entropy,2,0.01,0.6)	81.82	1
206	6	3	1	1	100	T(entropy,4,0.01,0.2)	72.73	2
207	6	3	1	1	100	T(entropy,4,0.01,0.6)	81.82	3
208	7	3	1	1	100	RF(100,half,all)	77.27	7
209	7	3	1	1	100	RF(50,half,all)	76.36	6
210	7	3	1	1	100	T(,2,0.01,0.2)	68.18	4
211	7	3	1	1	100	T(,4,0.01,0.2)	72.73	5
212	7	3	1	1	100	T(entropy,2,0.01,0.2)	68.18	0
213	7	3	1	1	100	T(entropy,2,0.01,0.6)	63.64	1
214	7	3	1	1	100	T(entropy,4,0.01,0.2)	72.73	2
215	7	3	1	1	100	T(entropy,4,0.01,0.6)	63.64	3
216	8	3	1	1	100	RF(100,half,all)	62.73	7
217	8	3	1	1	100	RF(50,half,all)	65.45	6
