Dataseed	windowsize_flattened_ontology_test_operators	n_samples_per_label	n_attributes	dataset_name	# insts (TRAIN)	# insts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.3)train_accuracy	T(entropy,2,0.01,0.3)K	T(entropy,2,0.01,0.3)accuracy	T(entropy,2,0.01,0.3)macro_sensitivity	T(entropy,2,0.01,0.3)safe_macro_sensitivity	T(entropy,2,0.01,0.3)safe_macro_specificity	T(entropy,2,0.01,0.3)safe_macro_PPV	T(entropy,2,0.01,0.3)safe_macro_NPV	T(entropy,2,0.01,0.3)safe_macro_F1	T(entropy,2,0.01,0.3)n_nodes	T(entropy,2,0.01,0.3)t	T(entropy,2,0.01,0.3)hash	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,4,0.01,0.3)train_accuracy	T(entropy,4,0.01,0.3)K	T(entropy,4,0.01,0.3)accuracy	T(entropy,4,0.01,0.3)macro_sensitivity	T(entropy,4,0.01,0.3)safe_macro_sensitivity	T(entropy,4,0.01,0.3)safe_macro_specificity	T(entropy,4,0.01,0.3)safe_macro_PPV	T(entropy,4,0.01,0.3)safe_macro_NPV	T(entropy,4,0.01,0.3)safe_macro_F1	T(entropy,4,0.01,0.3)n_nodes	T(entropy,4,0.01,0.3)t	T(entropy,4,0.01,0.3)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	RF(0.7,51,half,all)train_accuracy	RF(0.7,51,half,all)K	RF(0.7,51,half,all)accuracy	RF(0.7,51,half,all)macro_sensitivity	RF(0.7,51,half,all)safe_macro_sensitivity	RF(0.7,51,half,all)safe_macro_specificity	RF(0.7,51,half,all)safe_macro_PPV	RF(0.7,51,half,all)safe_macro_NPV	RF(0.7,51,half,all)safe_macro_F1	RF(0.7,51,half,all)oob_error	RF(0.7,51,half,all)n_nodes	RF(0.7,51,half,all)σ² train_accuracy	RF(0.7,51,half,all)σ² K	RF(0.7,51,half,all)σ² accuracy	RF(0.7,51,half,all)σ² macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_specificity	RF(0.7,51,half,all)σ² safe_macro_PPV	RF(0.7,51,half,all)σ² safe_macro_NPV	RF(0.7,51,half,all)σ² safe_macro_F1	RF(0.7,51,half,all)σ² oob_error	RF(0.7,51,half,all)σ² n_nodes	RF(0.7,51,half,all)t	RF(0.7,51,half,all)hash	
5	3x3,RCC5	100	-1	Salinas-A	480	120	[2040]	[(3, 3)]	98.96	98.0	98.33	98.33	98.33	99.67	98.48	99.67	98.33	11	294.233	4a7fadb3913418ebcff931f8ba4df9a0ec454f09370939d1fa11db7cb2bceb6d	98.96	98.0	98.33	98.33	98.33	99.67	98.48	99.67	98.33	11	270.816	4a7fadb3913418ebcff931f8ba4df9a0ec454f09370939d1fa11db7cb2bceb6d	98.96	98.0	98.33	98.33	98.33	99.67	98.48	99.67	98.33	11	272.944	4a7fadb3913418ebcff931f8ba4df9a0ec454f09370939d1fa11db7cb2bceb6d	98.96	98.0	98.33	98.33	98.33	99.67	98.48	99.67	98.33	11	271.768	4a7fadb3913418ebcff931f8ba4df9a0ec454f09370939d1fa11db7cb2bceb6d	98.96	98.0	98.33	98.33	98.33	99.67	98.48	99.67	98.33	11	272.248	4a7fadb3913418ebcff931f8ba4df9a0ec454f09370939d1fa11db7cb2bceb6d	98.96	98.0	98.33	98.33	98.33	99.67	98.48	99.67	98.33	11	272.818	4a7fadb3913418ebcff931f8ba4df9a0ec454f09370939d1fa11db7cb2bceb6d	99.96	98.6	98.83	98.83	98.83	99.77	98.92	99.77	98.83	2.46	68500.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	9400.0	6733.631	("cf4cac18d213b1c72034829e9cb3b16f6ca7bd571a6eb947053195064af3c77d", "504b66c0b99cad4b680795b3ba786068609f0df9a33e1621a103944f68d793ae", "95daafa8e1dde5b2778c70c3d59e372dc7cdea833501c956870c6b2664b3ee11", "84622587c325c7f68a8a7d20e3e5848f594169d5b70f9203871ac7d42213840b", "9fc398401704fdd224ab83f9e9c7e4587c45a6ae1d5fc423193f534f9dfdec34")	
6	3x3,RCC5	100	-1	Salinas-A	480	120	[2040]	[(3, 3)]	98.96	96.0	96.67	96.67	96.67	99.33	97.03	99.35	96.68	11	268.742	20d0ce383b04128a41f82482c5404e2af8e451fb884618a147c779fa85c81e95	98.96	96.0	96.67	96.67	96.67	99.33	97.03	99.35	96.68	11	268.375	20d0ce383b04128a41f82482c5404e2af8e451fb884618a147c779fa85c81e95	98.96	96.0	96.67	96.67	96.67	99.33	97.03	99.35	96.68	11	267.792	20d0ce383b04128a41f82482c5404e2af8e451fb884618a147c779fa85c81e95	98.96	96.0	96.67	96.67	96.67	99.33	97.03	99.35	96.68	11	267.42	20d0ce383b04128a41f82482c5404e2af8e451fb884618a147c779fa85c81e95	98.96	96.0	96.67	96.67	96.67	99.33	97.03	99.35	96.68	11	268.441	20d0ce383b04128a41f82482c5404e2af8e451fb884618a147c779fa85c81e95	98.96	96.0	96.67	96.67	96.67	99.33	97.03	99.35	96.68	11	268.108	20d0ce383b04128a41f82482c5404e2af8e451fb884618a147c779fa85c81e95	99.92	96.0	96.67	96.67	96.67	99.33	96.77	99.34	96.62	1.83	68300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8400.0	7083.263	("d26920ed99b25e7568d25f4d2fb521d64a48a84b786d5fe4f579e4dddb6473a1", "2c2d4843221ae102cad8a8747ba1e9123f46607cef57bfdc363341fee443601f", "31e7445f427099d56b6e5e2dbeadc7daa9530df9fa229522d57d839c0fabaf4d", "5b4196e79bb0613053450ff5a6d5619a360bf15a961ccf0a2bd48d20eac2a9af", "a8113d70edb9b4dfd0506223cbe6abd262777e5b2bba91d9050f8f174f19ec4c")	
7	3x3,RCC5	100	-1	Salinas-A	480	120	[2040]	[(3, 3)]	98.75	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	270.873	1f89f91f2128848d9d1af1ef4b833a85862b0836cce17084c06fe0d228865c8d	98.75	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	269.964	1f89f91f2128848d9d1af1ef4b833a85862b0836cce17084c06fe0d228865c8d	98.75	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	271.162	1f89f91f2128848d9d1af1ef4b833a85862b0836cce17084c06fe0d228865c8d	98.75	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	271.478	1f89f91f2128848d9d1af1ef4b833a85862b0836cce17084c06fe0d228865c8d	98.75	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	271.208	1f89f91f2128848d9d1af1ef4b833a85862b0836cce17084c06fe0d228865c8d	98.75	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	270.843	1f89f91f2128848d9d1af1ef4b833a85862b0836cce17084c06fe0d228865c8d	100.0	98.0	98.33	98.33	98.33	99.67	98.46	99.67	98.33	2.17	69660.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4280.0	6972.822	("8212b2f67a8dfd79470464862bd1e138705b891815f06725181921427cb450e8", "91aa36dbe1138c19b9c61d30175563ec32687be2bca0c180563d3ec7077831b6", "819dd32927766ff74ae02d8ceab605644b28acb7ca1d4c2d05ecfca423827944", "1a285b32fe62c74b935470316ccf69270801d617d3b3ef2ee8f00cf33a1b58d3", "9bab6f803f45cb1b8f5fb4986ab63bdc5be9811fab5ce161a7bd025fd9902f62")	
8	3x3,RCC5	100	-1	Salinas-A	480	120	[2040]	[(3, 3)]	99.17	96.0	96.67	96.67	96.67	99.33	96.99	99.34	96.7	11	269.309	7bef1740aafb7990f3a657cd924e25e37da94deaa18733d4de9119bbd8c42be9	99.17	96.0	96.67	96.67	96.67	99.33	96.99	99.34	96.7	11	268.135	7bef1740aafb7990f3a657cd924e25e37da94deaa18733d4de9119bbd8c42be9	99.17	96.0	96.67	96.67	96.67	99.33	96.99	99.34	96.7	11	267.135	7bef1740aafb7990f3a657cd924e25e37da94deaa18733d4de9119bbd8c42be9	99.17	96.0	96.67	96.67	96.67	99.33	96.99	99.34	96.7	11	267.764	7bef1740aafb7990f3a657cd924e25e37da94deaa18733d4de9119bbd8c42be9	99.17	96.0	96.67	96.67	96.67	99.33	96.99	99.34	96.7	11	268.305	7bef1740aafb7990f3a657cd924e25e37da94deaa18733d4de9119bbd8c42be9	99.17	96.0	96.67	96.67	96.67	99.33	96.99	99.34	96.7	11	268.11	7bef1740aafb7990f3a657cd924e25e37da94deaa18733d4de9119bbd8c42be9	99.92	98.8	99.0	99.0	99.0	99.8	99.06	99.8	99.0	2.08	68780.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	520.0	6871.877	("edbb9e5af6edda75a46e7d87eb1b53d442cb41d40e02fae3be6d9a0fb22a5c1f", "4951a532cc51236bdf9ed9b5ba45d74d51a91ce5dbc3a482d5a1d436b872bfbb", "5836d26cdc4c9aabeffd7194a7093ab6ddb4e6d1633d3514e9333015577acaa1", "6ebaf795247b22aee28024fb85dede18927998c7c0afeaf959adcf3a44946925", "6628998f09ead59200489d44346cac1a0fcd9e391104589d8d334be6e3ad3395")	
9	3x3,RCC5	100	-1	Salinas-A	480	120	[2040]	[(3, 3)]	98.96	97.0	97.5	97.5	97.5	99.5	97.5	99.5	97.48	11	276.474	b33fd1dc1e6fe9b404e1de437e3fcea7d36687de75d4276dd0b3dc9ff9502822	98.96	97.0	97.5	97.5	97.5	99.5	97.5	99.5	97.48	11	274.01	b33fd1dc1e6fe9b404e1de437e3fcea7d36687de75d4276dd0b3dc9ff9502822	98.96	97.0	97.5	97.5	97.5	99.5	97.5	99.5	97.48	11	273.255	b33fd1dc1e6fe9b404e1de437e3fcea7d36687de75d4276dd0b3dc9ff9502822	98.96	97.0	97.5	97.5	97.5	99.5	97.5	99.5	97.48	11	275.315	b33fd1dc1e6fe9b404e1de437e3fcea7d36687de75d4276dd0b3dc9ff9502822	98.96	97.0	97.5	97.5	97.5	99.5	97.5	99.5	97.48	11	274.972	b33fd1dc1e6fe9b404e1de437e3fcea7d36687de75d4276dd0b3dc9ff9502822	98.96	97.0	97.5	97.5	97.5	99.5	97.5	99.5	97.48	11	275.923	b33fd1dc1e6fe9b404e1de437e3fcea7d36687de75d4276dd0b3dc9ff9502822	99.88	99.0	99.17	99.17	99.17	99.83	99.21	99.83	99.17	2.33	68500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4600.0	6783.617	("b68bdfa034c99814ebbde80d39511df116bab56d7e12abadf7f73acc3b751d79", "f3b58d3da0da41b3ad625490a52b059c5294666229dd249b32ee3b9087bcc9bf", "39f9e5520b7fe1da41ba169fd6c148c688dd6fa6004fe7b017fa904862798995", "067ce5236231aeff573f7b5cf66b88c3f367cb3a8e591862e3eb53e36c1ae3e5", "232e812d6d6f5c7c46855e748f1d271dcb96dddff8f239573db96a8d96a47fa1")	
10	3x3,RCC5	100	-1	Salinas-A	480	120	[2040]	[(3, 3)]	98.96	98.0	98.33	98.33	98.33	99.67	98.41	99.67	98.31	11	272.677	73d1c7dce4938d9326b862e47cfeabeac39322228e0d011e552fb75c67822572	98.96	98.0	98.33	98.33	98.33	99.67	98.41	99.67	98.31	11	270.716	73d1c7dce4938d9326b862e47cfeabeac39322228e0d011e552fb75c67822572	98.96	98.0	98.33	98.33	98.33	99.67	98.41	99.67	98.31	11	271.462	73d1c7dce4938d9326b862e47cfeabeac39322228e0d011e552fb75c67822572	98.96	98.0	98.33	98.33	98.33	99.67	98.41	99.67	98.31	11	270.927	73d1c7dce4938d9326b862e47cfeabeac39322228e0d011e552fb75c67822572	98.96	98.0	98.33	98.33	98.33	99.67	98.41	99.67	98.31	11	270.889	73d1c7dce4938d9326b862e47cfeabeac39322228e0d011e552fb75c67822572	98.96	98.0	98.33	98.33	98.33	99.67	98.41	99.67	98.31	11	271.967	73d1c7dce4938d9326b862e47cfeabeac39322228e0d011e552fb75c67822572	100.0	97.8	98.17	98.17	98.17	99.63	98.24	99.64	98.17	1.54	68140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2480.0	6743.811	("1386c088eaddbe5058b1ea45556b17f04bb119f95de89a674d3ba4ef0a78d0ae", "eafa0d2be73b9e9b402fac5687b66d7f7bc794bc4d79192ed0b4341ecd2d8f4c", "47633ce50b444cf4534a8f16074d3d2d72fe95c0debc57ec4fad0e067c0afc99", "029af601c27c5be08a390ea4382db6237bd8a73dfa352f747cc2c9297757a184", "f5aa080d04d066c4b560a3681eecf05c29ef3bb461d86e6ce5b675688ad3c1c7")	
1	3x3 avg,propositional	100	-1	Salinas-A	480	120	[204]	[()]	97.29	95.0	95.83	95.83	95.83	99.17	96.31	99.19	95.82	11	7.223	8ee97b32ce568e8a93004d0df0e682c7c745578475156a477b054ec1f186f038	97.29	95.0	95.83	95.83	95.83	99.17	96.31	99.19	95.82	11	7.207	8ee97b32ce568e8a93004d0df0e682c7c745578475156a477b054ec1f186f038	97.29	95.0	95.83	95.83	95.83	99.17	96.31	99.19	95.82	11	7.159	8ee97b32ce568e8a93004d0df0e682c7c745578475156a477b054ec1f186f038	97.29	95.0	95.83	95.83	95.83	99.17	96.31	99.19	95.82	11	7.164	8ee97b32ce568e8a93004d0df0e682c7c745578475156a477b054ec1f186f038	97.29	95.0	95.83	95.83	95.83	99.17	96.31	99.19	95.82	11	7.175	8ee97b32ce568e8a93004d0df0e682c7c745578475156a477b054ec1f186f038	97.29	95.0	95.83	95.83	95.83	99.17	96.31	99.19	95.82	11	7.156	8ee97b32ce568e8a93004d0df0e682c7c745578475156a477b054ec1f186f038	99.88	99.0	99.17	99.17	99.17	99.83	99.21	99.83	99.17	2.38	87940.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4480.0	66.198	("c6b529a2bedc980f8663d2e59ff66531b8ea154616402679ec8be1a34d73e88c", "63667912f46c8ca3f037fd924db62cab0a5e0ca74a26202dba98466af3c13578", "d89e9320e41c2e0646e453c901ece8b069d1cd0b6a3fe0a95119bf330e29d23b", "1c6e74c9c894e710c40a96b3370da85a3670f69be13fa4ecd313913cef205f86", "029242a06d8e753bd4172144ee8a072409da1c6bc31671ed3033c27b60eec726")	
2	3x3 avg,propositional	100	-1	Salinas-A	480	120	[204]	[()]	97.5	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	7.188	22c36bd2abc5b271c5a7808bdcb145804e448d647de0223fa50b27150f082ea8	97.5	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	7.252	22c36bd2abc5b271c5a7808bdcb145804e448d647de0223fa50b27150f082ea8	97.5	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	7.26	22c36bd2abc5b271c5a7808bdcb145804e448d647de0223fa50b27150f082ea8	97.5	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	7.239	22c36bd2abc5b271c5a7808bdcb145804e448d647de0223fa50b27150f082ea8	97.5	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	7.254	22c36bd2abc5b271c5a7808bdcb145804e448d647de0223fa50b27150f082ea8	97.5	97.0	97.5	97.5	97.5	99.5	97.61	99.5	97.5	11	7.198	22c36bd2abc5b271c5a7808bdcb145804e448d647de0223fa50b27150f082ea8	99.83	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	2.29	86260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3080.0	67.284	("655a85ddc96266e644a5fc186bd732e21023260ff70b131cbc14cb2ba86d4b28", "8ea9ec9e0a4962811be4a031342f63878823faa7164d10834bdaab488dfc85f8", "747cb2bb567b6af96d9819a3c932aeca8e75ccba3d68bd941928a7aee529b44f", "9a936f8123068cebd9a942ea8762cde1db794fc24f673d73fc9c87cece299f9a", "88f5571f93d6da8cb25852755b4b9d7a096fc0ba0e601dcb43010517f6fcdd4b")	
3	3x3 avg,propositional	100	-1	Salinas-A	480	120	[204]	[()]	97.29	95.0	95.83	95.83	95.83	99.17	95.89	99.18	95.79	11	7.117	d0e8018df09759d73f540a558323db6868d78d652ed684c6a005193e6bf8f267	97.29	95.0	95.83	95.83	95.83	99.17	95.89	99.18	95.79	11	7.226	d0e8018df09759d73f540a558323db6868d78d652ed684c6a005193e6bf8f267	97.29	95.0	95.83	95.83	95.83	99.17	95.89	99.18	95.79	11	7.178	d0e8018df09759d73f540a558323db6868d78d652ed684c6a005193e6bf8f267	97.29	95.0	95.83	95.83	95.83	99.17	95.89	99.18	95.79	11	7.166	d0e8018df09759d73f540a558323db6868d78d652ed684c6a005193e6bf8f267	97.29	95.0	95.83	95.83	95.83	99.17	95.89	99.18	95.79	11	7.198	d0e8018df09759d73f540a558323db6868d78d652ed684c6a005193e6bf8f267	97.29	95.0	95.83	95.83	95.83	99.17	95.89	99.18	95.79	11	7.183	d0e8018df09759d73f540a558323db6868d78d652ed684c6a005193e6bf8f267	99.88	98.6	98.83	98.83	98.83	99.77	98.87	99.77	98.83	2.04	84140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14480.0	65.499	("c2b2e49dd373edf2bfb7f122e54029d60da20451ca8bc4550eb0cfcb61635aef", "753bdf0daaf88389331a01bf5bec615c97312b81337a2a9417dcf814d3dc685f", "f4fb2a39e4b09cf1a2f6c16acab1e8d663959a2785a4229b1f33173072d9fe2e", "8f358da76d9af21ac24862ef8056f1bc3237f9e167230db65142ba1e3595178f", "53218c244f47f4410837c8cc32e11e4570fb45f9c08009059b1cc03c1e52998e")	
4	3x3 avg,propositional	100	-1	Salinas-A	480	120	[204]	[()]	98.33	91.0	92.5	92.5	92.5	98.5	92.69	98.52	92.44	11	7.162	cd92089c55b0b11d9a1ee621aee47921cc289eb896bd181e7d0d8617da674c01	98.33	91.0	92.5	92.5	92.5	98.5	92.69	98.52	92.44	11	7.256	cd92089c55b0b11d9a1ee621aee47921cc289eb896bd181e7d0d8617da674c01	98.33	91.0	92.5	92.5	92.5	98.5	92.69	98.52	92.44	11	7.19	cd92089c55b0b11d9a1ee621aee47921cc289eb896bd181e7d0d8617da674c01	98.33	91.0	92.5	92.5	92.5	98.5	92.69	98.52	92.44	11	7.207	cd92089c55b0b11d9a1ee621aee47921cc289eb896bd181e7d0d8617da674c01	98.33	91.0	92.5	92.5	92.5	98.5	92.69	98.52	92.44	11	7.189	cd92089c55b0b11d9a1ee621aee47921cc289eb896bd181e7d0d8617da674c01	98.33	91.0	92.5	92.5	92.5	98.5	92.69	98.52	92.44	11	7.182	cd92089c55b0b11d9a1ee621aee47921cc289eb896bd181e7d0d8617da674c01	99.75	92.2	93.5	93.5	93.5	98.7	93.85	98.71	93.51	2.17	79700.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	38000.0	65.19	("e1f1df5945bd5c6d027d73311daa0ddf5aaafe7f96eab9f4fdcd19110abcbf14", "de428fd6e677c1a8aeca50f8374294394918fe7b8145b3b393abeac6300e1aa7", "0cb625215c6ea354dd1565c2d4d37eb57b8f824651377536c22cf5f367508912", "9736129e8766134d112b1b7d33f5407254c7be6c5573977e850b3097291c3f7f", "1ddd4f1784750a31c0b904c213df6cb97cf6e22fe55a9862820e75e3ba1e3481")	
5	3x3 avg,propositional	100	-1	Salinas-A	480	120	[204]	[()]	98.12	92.0	93.33	93.33	93.33	98.67	93.47	98.68	93.26	11	7.204	1d8a68bf7061b58104cbf79e0165b5ad0ff67edf9e5c1a2cb08c9b5ca2fb6ec0	98.12	92.0	93.33	93.33	93.33	98.67	93.47	98.68	93.26	11	7.151	1d8a68bf7061b58104cbf79e0165b5ad0ff67edf9e5c1a2cb08c9b5ca2fb6ec0	98.12	92.0	93.33	93.33	93.33	98.67	93.47	98.68	93.26	11	7.264	1d8a68bf7061b58104cbf79e0165b5ad0ff67edf9e5c1a2cb08c9b5ca2fb6ec0	98.12	92.0	93.33	93.33	93.33	98.67	93.47	98.68	93.26	11	7.169	1d8a68bf7061b58104cbf79e0165b5ad0ff67edf9e5c1a2cb08c9b5ca2fb6ec0	98.12	92.0	93.33	93.33	93.33	98.67	93.47	98.68	93.26	11	7.292	1d8a68bf7061b58104cbf79e0165b5ad0ff67edf9e5c1a2cb08c9b5ca2fb6ec0	98.12	92.0	93.33	93.33	93.33	98.67	93.47	98.68	93.26	11	7.157	1d8a68bf7061b58104cbf79e0165b5ad0ff67edf9e5c1a2cb08c9b5ca2fb6ec0	99.83	96.6	97.17	97.17	97.17	99.43	97.25	99.44	97.17	2.42	81580.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	17120.0	64.249	("5a709b0e5062f935fb0134b294411fb1bff3e9e8a3c042aff6fdeb567b232c4c", "d07303c415b182c2f3dbfbb260b2a8d157090c20fccf571df5c8f0ef01b7304b", "a22cf24cc8d33284c2629e90ea7136f8d3c6633214e140e36ee82c278e7b850b", "2fd648c9d10e6594999e2cedd787a88df59295d95197f933f9d2c18ab4ec5eab", "5b74098d5d49e232df484505d06987f9355f0ac1f216350e4e901f6375312978")	
6	3x3 avg,propositional	100	-1	Salinas-A	480	120	[204]	[()]	97.92	96.0	96.67	96.67	96.67	99.33	96.66	99.34	96.62	11	7.123	76b29778bd17d4ec3bce8f369bd56a8e5e9e46911eeec72daca09aaf44d6ce90	97.92	96.0	96.67	96.67	96.67	99.33	96.66	99.34	96.62	11	7.343	76b29778bd17d4ec3bce8f369bd56a8e5e9e46911eeec72daca09aaf44d6ce90	97.92	96.0	96.67	96.67	96.67	99.33	96.66	99.34	96.62	11	7.108	76b29778bd17d4ec3bce8f369bd56a8e5e9e46911eeec72daca09aaf44d6ce90	97.92	96.0	96.67	96.67	96.67	99.33	96.66	99.34	96.62	11	7.209	76b29778bd17d4ec3bce8f369bd56a8e5e9e46911eeec72daca09aaf44d6ce90	97.92	96.0	96.67	96.67	96.67	99.33	96.66	99.34	96.62	11	7.157	76b29778bd17d4ec3bce8f369bd56a8e5e9e46911eeec72daca09aaf44d6ce90	97.92	96.0	96.67	96.67	96.67	99.33	96.66	99.34	96.62	11	7.332	76b29778bd17d4ec3bce8f369bd56a8e5e9e46911eeec72daca09aaf44d6ce90	99.79	97.8	98.17	98.17	98.17	99.63	98.35	99.64	98.17	2.08	85740.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25680.0	65.07	("0aff4bce9ce98cbbbdd393f8d0fcaf678649f7200b62c01318aef08adb52ce4e", "20872a133ff8723f8965c3df5f410ca63325f43c29bb8b7aefbeb8a2255c6b34", "b0ffff56230849995f2037d62c7d40f85121caa5dfe1d1365417051fdca1a4fe", "a20b57527a384054957cdeb91fda7207f14de3795b238a547583ea7bc34b10d5", "ed76bddc0ab00ff28b1017f554bf7535cb9ef4e70458e214f70819a062ad5533")	
7	3x3 avg,propositional	100	-1	Salinas-A	480	120	[204]	[()]	97.5	96.0	96.67	96.67	96.67	99.33	96.79	99.34	96.66	11	7.187	a36ee0e29aa2fd1542d487f725afb76ccd22d33a353965f347e66411b17fb788	97.5	96.0	96.67	96.67	96.67	99.33	96.79	99.34	96.66	11	7.225	a36ee0e29aa2fd1542d487f725afb76ccd22d33a353965f347e66411b17fb788	97.5	96.0	96.67	96.67	96.67	99.33	96.79	99.34	96.66	11	7.255	a36ee0e29aa2fd1542d487f725afb76ccd22d33a353965f347e66411b17fb788	97.5	96.0	96.67	96.67	96.67	99.33	96.79	99.34	96.66	11	7.284	a36ee0e29aa2fd1542d487f725afb76ccd22d33a353965f347e66411b17fb788	97.5	96.0	96.67	96.67	96.67	99.33	96.79	99.34	96.66	11	7.248	a36ee0e29aa2fd1542d487f725afb76ccd22d33a353965f347e66411b17fb788	97.5	96.0	96.67	96.67	96.67	99.33	96.79	99.34	96.66	11	7.238	a36ee0e29aa2fd1542d487f725afb76ccd22d33a353965f347e66411b17fb788	100.0	98.2	98.5	98.5	98.5	99.7	98.58	99.7	98.5	1.67	84740.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11080.0	65.191	("bfb495cc9ae323a08a5492db41f7fe2bb0ea1a135f367661c09f8700094619ed", "3995994aec74465606f95035fa8f45702a00a8b61f9e02606c4b1427bf6b5b78", "cd92134915e0294fd4701e7a8160095fe4e96d08751b24a652f28b1da87c5d8c", "70d79058bfc507dc9bef34796b770ef7638dc0320aeca00485f269dcaeaaa1bb", "3c0f7bb47fb2f0ac6139a38dd5c8b143c6fa83e266366af168345e400aad3a72")	
