,GANDALF,,,,GANDALF 7x7,,,COVID,"Iteration ""TestOp_80,1,1,4,false,stump,Any[],1,(10,45,30)""...",,,"Iteration ""TestOp_80,1,1,4,false,stump_with_memoization,Any[],1,(10,45,30)""...",,
,stump,stump+memoiz,stump+memoiz+view,,stump,stump+memoiz+view,,,ms,allocations,memory,ms,allocations,memory
,,,,,,,,,15265,78289700,2.16 GiB,2403,76068510,2.07 GiB
,,,,,,,,,1525,20361299,517.38 MiB,1574,21026194,525.24 MiB
,,,,,,,,,991.354,9018514,216.01 MiB,1037,9269875,218.56 MiB
,,,,,,,,,1449,76872779,2.14 GiB,1512,78972987,2.13 GiB
,,,,,,,,,969.505,59659790,1.72 GiB,999.101,60803733,1.69 GiB
,,,,,,,,,1521,83070514,2.28 GiB,1549,85205910,2.27 GiB
,,,,,,,,,1456,74329473,2.08 GiB,1506,76246292,2.07 GiB
,,,,,,,,,1209,72880216,2.05 GiB,1221,74644799,2.04 GiB
,,,,,,,,,698.214,10467893,281.67 MiB,733.404,10729823,282.72 MiB
,,,,,,,,,499.781,5216321,139.84 MiB,520.396,5315629,138.87 MiB
,,,,,,,,,2310,79278973,2.17 GiB,18778,81358301,2.16 GiB
,,,,,,,,,2521,78650806,2.19 GiB,13712,92196865,2.43 GiB
,,,,,,,,,3428,86470125,2.35 GiB,1179,67611721,1.84 GiB
,,,,,,,,,3718,82442258,2.25 GiB,1567,77031740,2.07 GiB
,,,,,,,,,1284,67680367,1.91 GiB,1297,69142592,1.88 GiB
,,,,,,,,,806.168,12526446,334.05 MiB,838.741,12870023,336.29 MiB
,,,,,,,,,183.738,1856723,49.66 MiB,195.948,1862362,48.13 MiB
,,,,,,,,,1040,66066079,1.87 GiB,1045,67594890,1.85 GiB
,,,,,,,,,1265,65337073,1.86 GiB,1295,66709785,1.83 GiB
,,,,,,,,,1531,65478369,1.87 GiB,1561,66826016,1.84 GiB
,,,,,,,,,1429,62422332,1.80 GiB,1427,63606331,1.77 GiB
,,,,,,,,,1080,64533325,1.82 GiB,1089,65846298,1.79 GiB
,,,,,,,,,1531,16130704,420.62 MiB,1574,16683196,426.10 MiB
,,,,,,,,,171.237,1730302,46.18 MiB,182.092,1734116,44.70 MiB
,,,,,,,,,1262,66447953,1.88 GiB,1274,67991692,1.86 GiB
,,,,,,,,,1243,66343804,1.88 GiB,1273,67875723,1.86 GiB
,,,,,,,,,1162,67721856,1.90 GiB,1189,69261743,1.88 GiB
,,,,,,,,,1207,66088836,1.87 GiB,1226,67547753,1.85 GiB
,,,,,,,,,1377,66418706,1.85 GiB,1413,67900461,1.83 GiB
,,,,,,,,,2663,28058012,688.36 MiB,2744,28928955,699.13 MiB
,,,,,,,,,2410,21468935,510.46 MiB,2477,22109104,518.42 MiB
,,,,,,,,,2296,89707000,2.47 GiB,1675,92041389,2.46 GiB
,,,,,,,,,1497,73042623,2.04 GiB,1535,74738775,2.03 GiB
,,,,,,,,,1489,79947675,2.21 GiB,1519,82046087,2.20 GiB
,,,,,,,,,1534,79469702,2.21 GiB,1691,81413360,2.19 GiB
,,,,,,,,,1289,69254009,1.95 GiB,1356,82118168,2.22 GiB
,,,,,,,,,"Iteration ""TestOp_80,2,1,4,false,stump,Any[],1,(20,45,30)""...",1650563625 allocations,55.16 GiB,"Iteration ""TestOp_80,2,1,4,false,stump_with_memoization,Any[],1,(20,45,30)""...",,
,,,,,,,,,436126,1650563625,55.16 GiB,238.836,14213949,853.43 MiB
,,,,,,,,,2130,27775979,719.21 MiB,2213,28777383,727.69 MiB
,,,,,,,,,2004,18747518,478.78 MiB,2074,19467376,484.78 MiB
,,,,,,,,,10243,198873239,6.00 GiB,12030,238991973,7.09 GiB
,,,,,,,,,9575,168964158,5.14 GiB,7617,188790565,5.59 GiB
,,,,,,,,,11220,200277487,6.05 GiB,10163,223600420,6.59 GiB
